Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1166	275	275	0	-1166	275	275
1	-1844	1052	1327	1	-1844	1052	1327
2	-1357	565	1892	2	-1357	565	1892
3	-260	260	2152	3	-260	260	2152
4	-714	318	2470	4	-714	318	2470
5	-231	231	2701	5	-231	231	2701
6	-133	133	2834	6	-133	133	2834
7	-218	119	2953	7	-218	119	2953
8	-168	168	3121	8	-168	168	3121
9	-151	151	3272	9	-151	151	3272
10	-227	128	3400	10	-227	128	3400
11	-343	145	3545	11	-343	145	3545
12	-957	363	3908	12	-957	363	3908
13	-114	114	4022	13	-114	114	4022
14	-164	164	4186	14	-164	164	4186
15	-123	123	4309	15	-123	123	4309
16	-69	69	4378	16	-69	69	4378
17	-105	105	4483	17	-105	105	4483
18	-82	82	4565	18	-82	82	4565
19	-117	117	4682	19	-117	117	4682
20	-291	192	4874	20	-291	192	4874
21	-61	61	4935	21	-61	61	4935
22	-138	138	5073	22	-138	138	5073
23	-102	102	5175	23	-102	102	5175
24	-137	38	5213	24	-137	38	5213
25	-273	174	5387	25	-273	174	5387
26	-242	143	5530	26	-242	143	5530
27	-380	182	5712	27	-380	182	5712
28	-206	206	5918	28	-206	206	5918
29	-280	181	6099	29	-280	181	6099
30	-389	191	6290	30	-389	191	6290
31	-338	239	6529	31	-338	239	6529
32	-195	96	6625	32	-195	96	6625
33	-306	207	6832	33	-306	207	6832
34	-129	129	6961	34	-129	129	6961
35	-179	179	7140	35	-179	179	7140
36	-51	51	7191	36	-51	51	7191
37	-145	145	7336	37	-145	145	7336
38	-259	160	7496	38	-259	160	7496
39	-70	70	7566	39	-70	70	7566
40	-45	45	7611	40	-45	45	7611
41	-122	122	7733	41	-122	122	7733
42	-61	61	7794	42	-61	61	7794
43	-109	109	7903	43	-109	109	7903
44	-214	115	8018	44	-214	115	8018
45	-94	94	8112	45	-94	94	8112
46	-39	39	8151	46	-39	39	8151
47	-101	101	8252	47	-101	101	8252
48	-67	67	8319	48	-67	67	8319
49	-87	87	8406	49	-87	87	8406
50	-64	64	8470	50	-64	64	8470
51	-51	51	8521	51	-51	51	8521
52	-67	67	8588	52	-67	67	8588
53	-112	112	8700	53	-112	112	8700
54	-40	40	8740	54	-40	40	8740
55	-232	133	8873	55	-232	133	8873
56	-144	45	8918	56	-144	45	8918
57	-54	54	8972	57	-54	54	8972
58	-120	120	9092	58	-120	120	9092
59	-77	77	9169	59	-77	77	9169
60	-39	39	9208	60	-39	39	9208
61	-124	124	9332	61	-124	124	9332
62	-186	87	9419	62	-186	87	9419
63	-88	88	9507	63	-88	88	9507
64	-38	38	9545	64	-38	38	9545
65	-360	162	9707	65	-360	162	9707
66	-51	51	9758	66	-51	51	9758
67	-191	92	9850	67	-191	92	9850
68	-242	143	9993	68	-242	143	9993
69	-121	121	10114	69	-121	121	10114
70	-35	35	10149	70	-35	35	10149
71	-45	45	10194	71	-45	45	10194
72	-175	76	10270	72	-175	76	10270
73	-69	69	10339	73	-69	69	10339
74	-383	185	10524	74	-383	185	10524
75	-156	57	10581	75	-156	57	10581
76	-64	64	10645	76	-64	64	10645
