Episode	Accumulated Reward	Length	Steps
0	-4451	2174	2174
1	-41	41	2215
2	-40	40	2255
3	-827	431	2686
4	-586	289	2975
5	-81	81	3056
6	-62	62	3118
7	-25	25	3143
8	-29	29	3172
9	-20	20	3192
10	-17	17	3209
11	-18	18	3227
12	-17	17	3244
13	-26	26	3270
14	-17	17	3287
15	-19	19	3306
16	-22	22	3328
17	-29	29	3357
18	-18	18	3375
19	-132	33	3408
20	-20	20	3428
21	-22	22	3450
22	-19	19	3469
23	-23	23	3492
24	-19	19	3511
25	-18	18	3529
26	-19	19	3548
27	-17	17	3565
28	-19	19	3584
29	-22	22	3606
30	-17	17	3623
31	-19	19	3642
32	-18	18	3660
33	-21	21	3681
34	-17	17	3698
35	-21	21	3719
36	-25	25	3744
37	-17	17	3761
38	-21	21	3782
39	-17	17	3799
40	-20	20	3819
41	-21	21	3840
42	-20	20	3860
43	-27	27	3887
44	-18	18	3905
45	-19	19	3924
46	-23	23	3947
47	-19	19	3966
48	-21	21	3987
49	-25	25	4012
50	-17	17	4029
51	-17	17	4046
52	-19	19	4065
53	-21	21	4086
54	-17	17	4103
55	-17	17	4120
56	-18	18	4138
57	-19	19	4157
58	-19	19	4176
59	-19	19	4195
60	-20	20	4215
61	-17	17	4232
62	-18	18	4250
63	-19	19	4269
64	-22	22	4291
65	-17	17	4308
66	-19	19	4327
67	-21	21	4348
68	-23	23	4371
69	-19	19	4390
70	-18	18	4408
71	-17	17	4425
72	-19	19	4444
73	-17	17	4461
74	-17	17	4478
75	-19	19	4497
76	-19	19	4516
77	-19	19	4535
78	-19	19	4554
79	-18	18	4572
80	-25	25	4597
81	-19	19	4616
82	-17	17	4633
83	-23	23	4656
84	-22	22	4678
85	-20	20	4698
86	-19	19	4717
87	-19	19	4736
88	-17	17	4753
89	-17	17	4770
90	-26	26	4796
91	-117	18	4814
92	-18	18	4832
93	-18	18	4850
94	-19	19	4869
95	-17	17	4886
96	-21	21	4907
97	-19	19	4926
98	-17	17	4943
99	-18	18	4961
100	-19	19	4980
101	-19	19	4999
102	-17	17	5016
103	-17	17	5033
104	-19	19	5052
105	-17	17	5069
106	-18	18	5087
107	-19	19	5106
108	-19	19	5125
109	-19	19	5144
110	-18	18	5162
111	-19	19	5181
112	-17	17	5198
113	-135	36	5234
114	-17	17	5251
115	-19	19	5270
116	-18	18	5288
117	-18	18	5306
118	-21	21	5327
119	-19	19	5346
120	-17	17	5363
121	-20	20	5383
122	-18	18	5401
123	-23	23	5424
124	-19	19	5443
125	-17	17	5460
126	-18	18	5478
127	-20	20	5498
128	-25	25	5523
129	-17	17	5540
130	-18	18	5558
131	-17	17	5575
132	-21	21	5596
133	-17	17	5613
134	-17	17	5630
135	-23	23	5653
136	-121	22	5675
137	-19	19	5694
138	-20	20	5714
139	-19	19	5733
140	-23	23	5756
141	-17	17	5773
142	-19	19	5792
143	-25	25	5817
144	-17	17	5834
145	-18	18	5852
146	-18	18	5870
147	-21	21	5891
148	-21	21	5912
149	-19	19	5931
150	-18	18	5949
151	-17	17	5966
152	-21	21	5987
153	-21	21	6008
154	-18	18	6026
155	-19	19	6045
156	-18	18	6063
157	-17	17	6080
158	-19	19	6099
159	-26	26	6125
160	-17	17	6142
161	-123	24	6166
162	-17	17	6183
163	-19	19	6202
164	-17	17	6219
165	-19	19	6238
166	-23	23	6261
167	-23	23	6284
168	-19	19	6303
169	-19	19	6322
170	-23	23	6345
171	-19	19	6364
172	-122	23	6387
173	-20	20	6407
174	-22	22	6429
175	-22	22	6451
176	-20	20	6471
177	-17	17	6488
178	-18	18	6506
179	-20	20	6526
180	-21	21	6547
181	-28	28	6575
182	-18	18	6593
183	-17	17	6610
184	-17	17	6627
185	-19	19	6646
186	-19	19	6665
187	-20	20	6685
188	-19	19	6704
189	-20	20	6724
190	-17	17	6741
191	-23	23	6764
192	-17	17	6781
193	-23	23	6804
194	-17	17	6821
195	-17	17	6838
196	-17	17	6855
197	-17	17	6872
198	-17	17	6889
199	-19	19	6908
200	-22	22	6930
201	-23	23	6953
202	-17	17	6970
203	-17	17	6987
204	-19	19	7006
205	-17	17	7023
206	-18	18	7041
207	-25	25	7066
208	-19	19	7085
209	-21	21	7106
210	-17	17	7123
211	-18	18	7141
212	-17	17	7158
213	-21	21	7179
214	-20	20	7199
215	-21	21	7220
216	-21	21	7241
217	-20	20	7261
218	-19	19	7280
219	-23	23	7303
220	-23	23	7326
221	-23	23	7349
222	-20	20	7369
223	-21	21	7390
224	-17	17	7407
225	-18	18	7425
226	-20	20	7445
227	-20	20	7465
228	-19	19	7484
229	-20	20	7504
230	-21	21	7525
231	-19	19	7544
232	-17	17	7561
233	-21	21	7582
234	-23	23	7605
235	-20	20	7625
236	-17	17	7642
237	-19	19	7661
238	-17	17	7678
239	-17	17	7695
240	-18	18	7713
241	-18	18	7731
242	-19	19	7750
243	-17	17	7767
244	-21	21	7788
245	-19	19	7807
246	-19	19	7826
247	-19	19	7845
248	-17	17	7862
249	-19	19	7881
250	-22	22	7903
251	-22	22	7925
252	-19	19	7944
253	-23	23	7967
254	-19	19	7986
255	-22	22	8008
256	-18	18	8026
257	-17	17	8043
258	-20	20	8063
259	-19	19	8082
260	-19	19	8101
261	-18	18	8119
262	-19	19	8138
263	-17	17	8155
264	-19	19	8174
265	-17	17	8191
266	-19	19	8210
267	-17	17	8227
268	-26	26	8253
269	-18	18	8271
270	-17	17	8288
271	-18	18	8306
272	-18	18	8324
273	-18	18	8342
274	-17	17	8359
275	-17	17	8376
276	-19	19	8395
277	-17	17	8412
278	-20	20	8432
279	-120	21	8453
280	-21	21	8474
281	-18	18	8492
282	-19	19	8511
283	-17	17	8528
284	-19	19	8547
285	-20	20	8567
286	-21	21	8588
287	-17	17	8605
288	-21	21	8626
289	-17	17	8643
290	-18	18	8661
291	-17	17	8678
292	-17	17	8695
293	-17	17	8712
294	-20	20	8732
295	-17	17	8749
296	-21	21	8770
297	-17	17	8787
298	-19	19	8806
299	-23	23	8829
300	-17	17	8846
301	-17	17	8863
302	-21	21	8884
303	-24	24	8908
304	-18	18	8926
305	-21	21	8947
306	-22	22	8969
307	-17	17	8986
308	-22	22	9008
309	-20	20	9028
310	-26	26	9054
311	-18	18	9072
312	-17	17	9089
313	-21	21	9110
314	-17	17	9127
315	-19	19	9146
316	-19	19	9165
317	-17	17	9182
318	-22	22	9204
319	-19	19	9223
320	-17	17	9240
321	-18	18	9258
322	-19	19	9277
323	-18	18	9295
324	-21	21	9316
325	-18	18	9334
326	-19	19	9353
327	-18	18	9371
328	-19	19	9390
329	-17	17	9407
330	-19	19	9426
331	-19	19	9445
332	-19	19	9464
333	-26	26	9490
334	-21	21	9511
335	-20	20	9531
336	-18	18	9549
337	-22	22	9571
338	-19	19	9590
339	-22	22	9612
340	-19	19	9631
341	-17	17	9648
342	-19	19	9667
343	-19	19	9686
344	-119	20	9706
345	-119	20	9726
346	-17	17	9743
347	-19	19	9762
348	-21	21	9783
349	-19	19	9802
350	-18	18	9820
351	-17	17	9837
352	-17	17	9854
353	-17	17	9871
354	-19	19	9890
355	-17	17	9907
356	-19	19	9926
357	-17	17	9943
358	-20	20	9963
359	-17	17	9980
360	-19	19	9999
361	-17	17	10016
362	-23	23	10039
363	-23	23	10062
364	-19	19	10081
365	-17	17	10098
366	-17	17	10115
367	-23	23	10138
368	-21	21	10159
369	-21	21	10180
370	-18	18	10198
371	-22	22	10220
372	-18	18	10238
373	-19	19	10257
374	-17	17	10274
375	-18	18	10292
376	-19	19	10311
377	-17	17	10328
378	-17	17	10345
379	-19	19	10364
380	-24	24	10388
381	-21	21	10409
382	-19	19	10428
383	-25	25	10453
384	-19	19	10472
385	-19	19	10491
386	-21	21	10512
387	-19	19	10531
388	-18	18	10549
389	-17	17	10566
390	-17	17	10583
391	-18	18	10601
392	-17	17	10618
393	-18	18	10636
394	-20	20	10656
395	-19	19	10675
396	-17	17	10692
397	-19	19	10711
398	-20	20	10731
399	-18	18	10749
400	-19	19	10768
401	-22	22	10790
402	-18	18	10808
403	-17	17	10825
404	-23	23	10848
405	-18	18	10866
406	-18	18	10884
407	-17	17	10901
408	-17	17	10918
409	-21	21	10939
410	-18	18	10957
411	-24	24	10981
412	-20	20	11001
413	-31	31	11032
414	-17	17	11049
415	-18	18	11067
416	-18	18	11085
417	-17	17	11102
418	-17	17	11119
419	-19	19	11138
420	-19	19	11157
421	-19	19	11176
422	-27	27	11203
423	-19	19	11222
424	-18	18	11240
425	-17	17	11257
426	-18	18	11275
427	-21	21	11296
428	-21	21	11317
429	-17	17	11334
430	-118	19	11353
431	-18	18	11371
432	-22	22	11393
433	-17	17	11410
434	-22	22	11432
435	-123	24	11456
436	-17	17	11473
437	-21	21	11494
438	-21	21	11515
439	-17	17	11532
440	-21	21	11553
441	-23	23	11576
442	-29	29	11605
443	-19	19	11624
444	-22	22	11646
445	-19	19	11665
446	-17	17	11682
447	-23	23	11705
448	-20	20	11725
449	-17	17	11742
450	-118	19	11761
451	-19	19	11780
452	-22	22	11802
453	-18	18	11820
454	-17	17	11837
455	-17	17	11854
456	-19	19	11873
457	-19	19	11892
458	-19	19	11911
459	-23	23	11934
460	-17	17	11951
461	-19	19	11970
462	-17	17	11987
463	-17	17	12004
464	-18	18	12022
465	-19	19	12041
466	-20	20	12061
467	-23	23	12084
468	-20	20	12104
469	-22	22	12126
470	-22	22	12148
471	-17	17	12165
472	-18	18	12183
473	-27	27	12210
474	-19	19	12229
475	-17	17	12246
476	-18	18	12264
477	-17	17	12281
478	-21	21	12302
479	-17	17	12319
480	-21	21	12340
481	-17	17	12357
482	-17	17	12374
483	-18	18	12392
484	-17	17	12409
485	-23	23	12432
486	-20	20	12452
487	-17	17	12469
488	-19	19	12488
489	-19	19	12507
490	-18	18	12525
491	-19	19	12544
492	-19	19	12563
493	-17	17	12580
494	-18	18	12598
495	-19	19	12617
496	-23	23	12640
497	-18	18	12658
498	-17	17	12675
499	-20	20	12695
