Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218	0	1.0	218	218
1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399	1	1.0	181	399
2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435	2	1.0	36	435
3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519	3	1.0	84	519
4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570	4	1.0	51	570
5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628	5	1.0	58	628
6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644	6	1.0	16	644
7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663	7	1.0	19	663
8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679	8	1.0	16	679
9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701	9	1.0	22	701
10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717	10	1.0	16	717
11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733	11	1.0	16	733
12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750	12	1.0	17	750
13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768	13	1.0	18	768
14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785	14	1.0	17	785
15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802	15	1.0	17	802
