Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	80	80	0	1.0	80	80	0	1.0	80	80	0	1.0	80	80
1	1.0	93	173	1	1.0	93	173	1	1.0	93	173	1	1.0	93	173
2	1.0	93	266	2	1.0	93	266	2	1.0	93	266	2	1.0	93	266
3	1.0	35	301	3	1.0	35	301	3	1.0	35	301	3	1.0	35	301
4	1.0	33	334	4	1.0	33	334	4	1.0	33	334	4	1.0	33	334
5	1.0	16	350	5	1.0	16	350	5	1.0	16	350	5	1.0	16	350
6	1.0	22	372	6	1.0	22	372	6	1.0	22	372	6	1.0	22	372
7	1.0	27	399	7	1.0	27	399	7	1.0	27	399	7	1.0	27	399
8	1.0	16	415	8	1.0	16	415	8	1.0	16	415	8	1.0	16	415
9	1.0	19	434	9	1.0	19	434	9	1.0	19	434	9	1.0	19	434
10	1.0	18	452	10	1.0	18	452	10	1.0	18	452	10	1.0	18	452
11	1.0	20	472	11	1.0	20	472	11	1.0	20	472	11	1.0	20	472
12	1.0	19	491	12	1.0	19	491	12	1.0	19	491	12	1.0	19	491
13	1.0	16	507	13	1.0	16	507	13	1.0	16	507	13	1.0	16	507
14	1.0	18	525	14	1.0	18	525	14	1.0	18	525	14	1.0	18	525
15	1.0	20	545	15	1.0	20	545	15	1.0	20	545	15	1.0	20	545
16	1.0	16	561	16	1.0	16	561	16	1.0	16	561	16	1.0	16	561
17	1.0	25	586	17	1.0	25	586	17	1.0	25	586	17	1.0	25	586
18	1.0	17	603	18	1.0	17	603	18	1.0	17	603	18	1.0	17	603
19	1.0	16	619	19	1.0	16	619	19	1.0	16	619	19	1.0	16	619
20	1.0	16	635	20	1.0	16	635	20	1.0	16	635	20	1.0	16	635
21	1.0	18	653	21	1.0	18	653	21	1.0	18	653	21	1.0	18	653
22	1.0	16	669	22	1.0	16	669	22	1.0	16	669	22	1.0	16	669
23	1.0	17	686	23	1.0	17	686	23	1.0	17	686	23	1.0	17	686
24	1.0	18	704	24	1.0	18	704	24	1.0	18	704	24	1.0	18	704
25	1.0	18	722	25	1.0	18	722	25	1.0	18	722	25	1.0	18	722
26	1.0	20	742	26	1.0	20	742	26	1.0	20	742	26	1.0	20	742
27	1.0	28	770	27	1.0	28	770	27	1.0	28	770	27	1.0	28	770
28	1.0	20	790	28	1.0	20	790	28	1.0	20	790	28	1.0	20	790
29	1.0	20	810	29	1.0	20	810	29	1.0	20	810	29	1.0	20	810
30	1.0	18	828	30	1.0	18	828	30	1.0	18	828	30	1.0	18	828
31	1.0	16	844	31	1.0	16	844	31	1.0	16	844	31	1.0	16	844
32	1.0	16	860	32	1.0	16	860	32	1.0	16	860	32	1.0	16	860
33	1.0	17	877	33	1.0	17	877	33	1.0	17	877	33	1.0	17	877
34	1.0	16	893	34	1.0	16	893	34	1.0	16	893	34	1.0	16	893
35	1.0	18	911	35	1.0	18	911	35	1.0	18	911	35	1.0	18	911
36	1.0	16	927	36	1.0	16	927	36	1.0	16	927	36	1.0	16	927
37	1.0	18	945	37	1.0	18	945	37	1.0	18	945	37	1.0	18	945
38	1.0	18	963	38	1.0	18	963	38	1.0	18	963	38	1.0	18	963
39	1.0	16	979	39	1.0	16	979	39	1.0	16	979	39	1.0	16	979
40	1.0	21	1000	40	1.0	21	1000	40	1.0	21	1000	40	1.0	21	1000
41	1.0	17	1017	41	1.0	17	1017	41	1.0	17	1017	41	1.0	17	1017
42	1.0	18	1035	42	1.0	18	1035	42	1.0	18	1035	42	1.0	18	1035
43	1.0	16	1051	43	1.0	16	1051	43	1.0	16	1051	43	1.0	16	1051
44	1.0	19	1070	44	1.0	19	1070	44	1.0	19	1070	44	1.0	19	1070
45	1.0	20	1090	45	1.0	20	1090	45	1.0	20	1090	45	1.0	20	1090
46	1.0	20	1110	46	1.0	20	1110	46	1.0	20	1110	46	1.0	20	1110
47	1.0	16	1126	47	1.0	16	1126	47	1.0	16	1126	47	1.0	16	1126
48	1.0	17	1143	48	1.0	17	1143	48	1.0	17	1143	48	1.0	17	1143
49	1.0	20	1163	49	1.0	20	1163	49	1.0	20	1163	49	1.0	20	1163
