Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	366	366	0	1.0	366	366	0	1.0	366	366	0	1.0	366	366	0	1.0	366	366	0	1.0	366	366	0	1.0	366	366	0	1.0	366	366	0	1.0	366	366
1	1.0	216	582	1	1.0	216	582	1	1.0	216	582	1	1.0	216	582	1	1.0	216	582	1	1.0	216	582	1	1.0	216	582	1	1.0	216	582	1	1.0	216	582
2	1.0	117	699	2	1.0	117	699	2	1.0	117	699	2	1.0	117	699	2	1.0	117	699	2	1.0	117	699	2	1.0	117	699	2	1.0	117	699	2	1.0	117	699
3	1.0	67	766	3	1.0	67	766	3	1.0	67	766	3	1.0	67	766	3	1.0	67	766	3	1.0	67	766	3	1.0	67	766	3	1.0	67	766	3	1.0	67	766
4	1.0	38	804	4	1.0	38	804	4	1.0	38	804	4	1.0	38	804	4	1.0	38	804	4	1.0	38	804	4	1.0	38	804	4	1.0	38	804	4	1.0	38	804
5	1.0	26	830	5	1.0	26	830	5	1.0	26	830	5	1.0	26	830	5	1.0	26	830	5	1.0	26	830	5	1.0	26	830	5	1.0	26	830	5	1.0	26	830
6	1.0	18	848	6	1.0	18	848	6	1.0	18	848	6	1.0	18	848	6	1.0	18	848	6	1.0	18	848	6	1.0	18	848	6	1.0	18	848	6	1.0	18	848
7	1.0	17	865	7	1.0	17	865	7	1.0	17	865	7	1.0	17	865	7	1.0	17	865	7	1.0	17	865	7	1.0	17	865	7	1.0	17	865	7	1.0	17	865
8	1.0	14	879	8	1.0	14	879	8	1.0	14	879	8	1.0	14	879	8	1.0	14	879	8	1.0	14	879	8	1.0	14	879	8	1.0	14	879	8	1.0	14	879
9	1.0	17	896	9	1.0	17	896	9	1.0	17	896	9	1.0	17	896	9	1.0	17	896	9	1.0	17	896	9	1.0	17	896	9	1.0	17	896	9	1.0	17	896
10	1.0	14	910	10	1.0	14	910	10	1.0	14	910	10	1.0	14	910	10	1.0	14	910	10	1.0	14	910	10	1.0	14	910	10	1.0	14	910	10	1.0	14	910
11	1.0	16	926	11	1.0	16	926	11	1.0	16	926	11	1.0	16	926	11	1.0	16	926	11	1.0	16	926	11	1.0	16	926	11	1.0	16	926	11	1.0	16	926
12	1.0	17	943	12	1.0	17	943	12	1.0	17	943	12	1.0	17	943	12	1.0	17	943	12	1.0	17	943	12	1.0	17	943	12	1.0	17	943	12	1.0	17	943
13	1.0	16	959	13	1.0	16	959	13	1.0	16	959	13	1.0	16	959	13	1.0	16	959	13	1.0	16	959	13	1.0	16	959	13	1.0	16	959	13	1.0	16	959
14	1.0	16	975	14	1.0	16	975	14	1.0	16	975	14	1.0	16	975	14	1.0	16	975	14	1.0	16	975	14	1.0	16	975	14	1.0	16	975	14	1.0	16	975
15	1.0	14	989	15	1.0	14	989	15	1.0	14	989	15	1.0	14	989	15	1.0	14	989	15	1.0	14	989	15	1.0	14	989	15	1.0	14	989	15	1.0	14	989
16	1.0	14	1003	16	1.0	14	1003	16	1.0	14	1003	16	1.0	14	1003	16	1.0	14	1003	16	1.0	14	1003	16	1.0	14	1003	16	1.0	14	1003	16	1.0	14	1003
17	1.0	15	1018	17	1.0	15	1018	17	1.0	15	1018	17	1.0	15	1018	17	1.0	15	1018	17	1.0	15	1018	17	1.0	15	1018	17	1.0	15	1018	17	1.0	15	1018
18	1.0	15	1033	18	1.0	15	1033	18	1.0	15	1033	18	1.0	15	1033	18	1.0	15	1033	18	1.0	15	1033	18	1.0	15	1033	18	1.0	15	1033	18	1.0	15	1033
19	1.0	14	1047	19	1.0	14	1047	19	1.0	14	1047	19	1.0	14	1047	19	1.0	14	1047	19	1.0	14	1047	19	1.0	14	1047	19	1.0	14	1047	19	1.0	14	1047
20	1.0	16	1063	20	1.0	16	1063	20	1.0	16	1063	20	1.0	16	1063	20	1.0	16	1063	20	1.0	16	1063	20	1.0	16	1063	20	1.0	16	1063	20	1.0	16	1063
21	1.0	18	1081	21	1.0	18	1081	21	1.0	18	1081	21	1.0	18	1081	21	1.0	18	1081	21	1.0	18	1081	21	1.0	18	1081	21	1.0	18	1081	21	1.0	18	1081
22	1.0	16	1097	22	1.0	16	1097	22	1.0	16	1097	22	1.0	16	1097	22	1.0	16	1097	22	1.0	16	1097	22	1.0	16	1097	22	1.0	16	1097	22	1.0	16	1097
23	1.0	14	1111	23	1.0	14	1111	23	1.0	14	1111	23	1.0	14	1111	23	1.0	14	1111	23	1.0	14	1111	23	1.0	14	1111	23	1.0	14	1111	23	1.0	14	1111
24	1.0	14	1125	24	1.0	14	1125	24	1.0	14	1125	24	1.0	14	1125	24	1.0	14	1125	24	1.0	14	1125	24	1.0	14	1125	24	1.0	14	1125	24	1.0	14	1125
25	1.0	14	1139	25	1.0	14	1139	25	1.0	14	1139	25	1.0	14	1139	25	1.0	14	1139	25	1.0	14	1139	25	1.0	14	1139	25	1.0	14	1139	25	1.0	14	1139
