Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754	0	1.0	754	754
1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884	1	1.0	130	884
2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000	2	1.0	116	1000
3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021	3	1.0	21	1021
4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075	4	1.0	54	1075
5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124	5	1.0	49	1124
6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144	6	1.0	20	1144
7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168	7	1.0	24	1168
8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191	8	1.0	23	1191
9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205	9	1.0	14	1205
10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221	10	1.0	16	1221
11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239	11	1.0	18	1239
