Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	1553	1553	0	1.0	1553	1553	0	1.0	1553	1553	0	1.0	1553	1553	0	1.0	1553	1553
1	1.0	38	1591	1	1.0	38	1591	1	1.0	38	1591	1	1.0	38	1591	1	1.0	38	1591
2	1.0	20	1611	2	1.0	20	1611	2	1.0	20	1611	2	1.0	20	1611	2	1.0	20	1611
3	1.0	22	1633	3	1.0	22	1633	3	1.0	22	1633	3	1.0	22	1633	3	1.0	22	1633
4	1.0	16	1649	4	1.0	16	1649	4	1.0	16	1649	4	1.0	16	1649	4	1.0	16	1649
5	1.0	14	1663	5	1.0	14	1663	5	1.0	14	1663	5	1.0	14	1663	5	1.0	14	1663
6	1.0	14	1677	6	1.0	14	1677	6	1.0	14	1677	6	1.0	14	1677	6	1.0	14	1677
7	1.0	16	1693	7	1.0	16	1693	7	1.0	16	1693	7	1.0	16	1693	7	1.0	16	1693
8	1.0	20	1713	8	1.0	20	1713	8	1.0	20	1713	8	1.0	20	1713	8	1.0	20	1713
9	1.0	15	1728	9	1.0	15	1728	9	1.0	15	1728	9	1.0	15	1728	9	1.0	15	1728
10	1.0	18	1746	10	1.0	18	1746	10	1.0	18	1746	10	1.0	18	1746	10	1.0	18	1746
11	1.0	17	1763	11	1.0	17	1763	11	1.0	17	1763	11	1.0	17	1763	11	1.0	17	1763
12	1.0	20	1783	12	1.0	20	1783	12	1.0	20	1783	12	1.0	20	1783	12	1.0	20	1783
13	1.0	16	1799	13	1.0	16	1799	13	1.0	16	1799	13	1.0	16	1799	13	1.0	16	1799
14	1.0	16	1815	14	1.0	16	1815	14	1.0	16	1815	14	1.0	16	1815	14	1.0	16	1815
15	1.0	14	1829	15	1.0	14	1829	15	1.0	14	1829	15	1.0	14	1829	15	1.0	14	1829
16	1.0	14	1843	16	1.0	14	1843	16	1.0	14	1843	16	1.0	14	1843	16	1.0	14	1843
17	1.0	14	1857	17	1.0	14	1857	17	1.0	14	1857	17	1.0	14	1857	17	1.0	14	1857
18	1.0	19	1876	18	1.0	19	1876	18	1.0	19	1876	18	1.0	19	1876	18	1.0	19	1876
19	1.0	15	1891	19	1.0	15	1891	19	1.0	15	1891	19	1.0	15	1891	19	1.0	15	1891
20	1.0	14	1905	20	1.0	14	1905	20	1.0	14	1905	20	1.0	14	1905	20	1.0	14	1905
21	1.0	21	1926	21	1.0	21	1926	21	1.0	21	1926	21	1.0	21	1926	21	1.0	21	1926
