Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666	0	1.0	666	666
1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729	1	1.0	63	729
2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748	2	1.0	19	748
3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766	3	1.0	18	766
4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784	4	1.0	18	784
5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803	5	1.0	19	803
6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825	6	1.0	22	825
7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845	7	1.0	20	845
8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861	8	1.0	16	861
9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877	9	1.0	16	877
10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894	10	1.0	17	894
11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911	11	1.0	17	911
12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930	12	1.0	19	930
13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951	13	1.0	21	951
