Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494	0	1.0	494	494
1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539	1	1.0	45	539
2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558	2	1.0	19	558
3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574	3	1.0	16	574
4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594	4	1.0	20	594
5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610	5	1.0	16	610
6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630	6	1.0	20	630
7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646	7	1.0	16	646
8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662	8	1.0	16	662
9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680	9	1.0	18	680
