Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	373	373	0	1.0	373	373	0	1.0	373	373	0	1.0	373	373	0	1.0	373	373	0	1.0	373	373	0	1.0	373	373	0	1.0	373	373	0	1.0	373	373	0	1.0	373	373
1	1.0	51	424	1	1.0	51	424	1	1.0	51	424	1	1.0	51	424	1	1.0	51	424	1	1.0	51	424	1	1.0	51	424	1	1.0	51	424	1	1.0	51	424	1	1.0	51	424
2	1.0	16	440	2	1.0	16	440	2	1.0	16	440	2	1.0	16	440	2	1.0	16	440	2	1.0	16	440	2	1.0	16	440	2	1.0	16	440	2	1.0	16	440	2	1.0	16	440
3	1.0	18	458	3	1.0	18	458	3	1.0	18	458	3	1.0	18	458	3	1.0	18	458	3	1.0	18	458	3	1.0	18	458	3	1.0	18	458	3	1.0	18	458	3	1.0	18	458
4	1.0	19	477	4	1.0	19	477	4	1.0	19	477	4	1.0	19	477	4	1.0	19	477	4	1.0	19	477	4	1.0	19	477	4	1.0	19	477	4	1.0	19	477	4	1.0	19	477
5	1.0	14	491	5	1.0	14	491	5	1.0	14	491	5	1.0	14	491	5	1.0	14	491	5	1.0	14	491	5	1.0	14	491	5	1.0	14	491	5	1.0	14	491	5	1.0	14	491
6	1.0	22	513	6	1.0	22	513	6	1.0	22	513	6	1.0	22	513	6	1.0	22	513	6	1.0	22	513	6	1.0	22	513	6	1.0	22	513	6	1.0	22	513	6	1.0	22	513
7	1.0	15	528	7	1.0	15	528	7	1.0	15	528	7	1.0	15	528	7	1.0	15	528	7	1.0	15	528	7	1.0	15	528	7	1.0	15	528	7	1.0	15	528	7	1.0	15	528
8	1.0	16	544	8	1.0	16	544	8	1.0	16	544	8	1.0	16	544	8	1.0	16	544	8	1.0	16	544	8	1.0	16	544	8	1.0	16	544	8	1.0	16	544	8	1.0	16	544
9	1.0	23	567	9	1.0	23	567	9	1.0	23	567	9	1.0	23	567	9	1.0	23	567	9	1.0	23	567	9	1.0	23	567	9	1.0	23	567	9	1.0	23	567	9	1.0	23	567
10	1.0	16	583	10	1.0	16	583	10	1.0	16	583	10	1.0	16	583	10	1.0	16	583	10	1.0	16	583	10	1.0	16	583	10	1.0	16	583	10	1.0	16	583	10	1.0	16	583
11	1.0	16	599	11	1.0	16	599	11	1.0	16	599	11	1.0	16	599	11	1.0	16	599	11	1.0	16	599	11	1.0	16	599	11	1.0	16	599	11	1.0	16	599	11	1.0	16	599
12	1.0	19	618	12	1.0	19	618	12	1.0	19	618	12	1.0	19	618	12	1.0	19	618	12	1.0	19	618	12	1.0	19	618	12	1.0	19	618	12	1.0	19	618	12	1.0	19	618
13	1.0	20	638	13	1.0	20	638	13	1.0	20	638	13	1.0	20	638	13	1.0	20	638	13	1.0	20	638	13	1.0	20	638	13	1.0	20	638	13	1.0	20	638	13	1.0	20	638
14	1.0	16	654	14	1.0	16	654	14	1.0	16	654	14	1.0	16	654	14	1.0	16	654	14	1.0	16	654	14	1.0	16	654	14	1.0	16	654	14	1.0	16	654	14	1.0	16	654
15	1.0	19	673	15	1.0	19	673	15	1.0	19	673	15	1.0	19	673	15	1.0	19	673	15	1.0	19	673	15	1.0	19	673	15	1.0	19	673	15	1.0	19	673	15	1.0	19	673
16	1.0	14	687	16	1.0	14	687	16	1.0	14	687	16	1.0	14	687	16	1.0	14	687	16	1.0	14	687	16	1.0	14	687	16	1.0	14	687	16	1.0	14	687	16	1.0	14	687
17	1.0	14	701	17	1.0	14	701	17	1.0	14	701	17	1.0	14	701	17	1.0	14	701	17	1.0	14	701	17	1.0	14	701	17	1.0	14	701	17	1.0	14	701	17	1.0	14	701
18	1.0	21	722	18	1.0	21	722	18	1.0	21	722	18	1.0	21	722	18	1.0	21	722	18	1.0	21	722	18	1.0	21	722	18	1.0	21	722	18	1.0	21	722	18	1.0	21	722
19	1.0	16	738	19	1.0	16	738	19	1.0	16	738	19	1.0	16	738	19	1.0	16	738	19	1.0	16	738	19	1.0	16	738	19	1.0	16	738	19	1.0	16	738	19	1.0	16	738
20	1.0	15	753	20	1.0	15	753	20	1.0	15	753	20	1.0	15	753	20	1.0	15	753	20	1.0	15	753	20	1.0	15	753	20	1.0	15	753	20	1.0	15	753	20	1.0	15	753
