Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260	0	-1151	260	260
1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401	1	-636	141	401
2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457	2	-56	56	457
3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512	3	-55	55	512
4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529	4	-17	17	529
5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552	5	-23	23	552
6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589	6	-37	37	589
7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616	7	-27	27	616
8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635	8	-19	19	635
9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654	9	-19	19	654
