Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323	0	-1511	323	323
1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363	1	-40	40	363
2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424	2	-160	61	424
3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488	3	-64	64	488
4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522	4	-34	34	522
5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555	5	-33	33	555
6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602	6	-146	47	602
7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637	7	-35	35	637
8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679	8	-42	42	679
9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698	9	-19	19	698
10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735	10	-136	37	735
11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759	11	-123	24	759
12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775	12	-115	16	775
13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796	13	-120	21	796
14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815	14	-19	19	815
15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830	15	-15	15	830
16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860	16	-129	30	860
17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876	17	-115	16	876
18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899	18	-23	23	899
19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918	19	-118	19	918
20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931	20	-13	13	931
21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950	21	-118	19	950
22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995	22	-342	45	995
23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009	23	-14	14	1009
24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029	24	-119	20	1029
