Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209	0	-1001	209	209
1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400	1	-785	191	400
2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474	2	-173	74	474
3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513	3	-39	39	513
4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561	4	-48	48	561
5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591	5	-30	30	591
6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626	6	-35	35	626
7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666	7	-139	40	666
8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689	8	-23	23	689
9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714	9	-25	25	714
