Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423	0	-2304	423	423
1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492	1	-69	69	492
2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530	2	-38	38	530
3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562	3	-32	32	562
4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606	4	-44	44	606
5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642	5	-36	36	642
6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665	6	-23	23	665
7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680	7	-15	15	680
8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701	8	-21	21	701
9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723	9	-22	22	723
