Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245	0	-1433	245	245
1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286	1	-41	41	286
2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309	2	-23	23	309
3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331	3	-22	22	331
4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357	4	-26	26	357
5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376	5	-19	19	376
6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402	6	-125	26	402
7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427	7	-223	25	427
8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440	8	-13	13	440
9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454	9	-113	14	454
