Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300	0	-1686	300	300
1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317	1	-17	17	317
2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337	2	-20	20	337
3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360	3	-23	23	360
4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377	4	-17	17	377
5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390	5	-13	13	390
6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407	6	-17	17	407
7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430	7	-122	23	430
8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443	8	-13	13	443
9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478	9	-233	35	478
