Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270	0	-1755	270	270
1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294	1	-24	24	294
2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327	2	-33	33	327
3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354	3	-324	27	354
4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373	4	-19	19	373
5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387	5	-14	14	387
6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400	6	-13	13	400
7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423	7	-122	23	423
8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440	8	-17	17	440
9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453	9	-13	13	453
