Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206	0	-1097	206	206
1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275	1	-267	69	275
2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288	2	-13	13	288
3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309	3	-120	21	309
4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322	4	-13	13	322
5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337	5	-15	15	337
6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354	6	-17	17	354
7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389	7	-233	35	389
8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402	8	-13	13	402
9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419	9	-17	17	419
