Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	143	143	0	1.0	143	143	0	1.0	143	143	0	1.0	143	143	0	1.0	143	143	0	1.0	143	143
1	1.0	130	273	1	1.0	130	273	1	1.0	130	273	1	1.0	130	273	1	1.0	130	273	1	1.0	130	273
2	1.0	192	465	2	1.0	192	465	2	1.0	192	465	2	1.0	192	465	2	1.0	192	465	2	1.0	192	465
3	1.0	1136	1601	3	1.0	1136	1601	3	1.0	1136	1601	3	1.0	1136	1601	3	1.0	1136	1601	3	1.0	1136	1601
4	1.0	156	1757	4	1.0	156	1757	4	1.0	156	1757	4	1.0	156	1757	4	1.0	156	1757	4	1.0	156	1757
5	1.0	112	1869	5	1.0	112	1869	5	1.0	112	1869	5	1.0	112	1869	5	1.0	112	1869	5	1.0	112	1869
6	1.0	209	2078	6	1.0	209	2078	6	1.0	209	2078	6	1.0	209	2078	6	1.0	209	2078	6	1.0	209	2078
7	1.0	49	2127	7	1.0	49	2127	7	1.0	49	2127	7	1.0	49	2127	7	1.0	49	2127	7	1.0	49	2127
8	1.0	564	2691	8	1.0	564	2691	8	1.0	564	2691	8	1.0	564	2691	8	1.0	564	2691	8	1.0	564	2691
9	1.0	138	2829	9	1.0	138	2829	9	1.0	138	2829	9	1.0	138	2829	9	1.0	138	2829	9	1.0	138	2829
10	1.0	43	2872	10	1.0	43	2872	10	1.0	43	2872	10	1.0	43	2872	10	1.0	43	2872	10	1.0	43	2872
11	1.0	29	2901	11	1.0	29	2901	11	1.0	29	2901	11	1.0	29	2901	11	1.0	29	2901	11	1.0	29	2901
12	1.0	76	2977	12	1.0	76	2977	12	1.0	76	2977	12	1.0	76	2977	12	1.0	76	2977	12	1.0	76	2977
13	1.0	37	3014	13	1.0	37	3014	13	1.0	37	3014	13	1.0	37	3014	13	1.0	37	3014	13	1.0	37	3014
