Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	407	407	0	1.0	407	407	0	1.0	407	407	0	1.0	407	407	0	1.0	407	407	0	1.0	407	407	0	1.0	407	407	0	1.0	407	407	0	1.0	407	407	0	1.0	407	407	0	1.0	407	407
1	1.0	303	710	1	1.0	303	710	1	1.0	303	710	1	1.0	303	710	1	1.0	303	710	1	1.0	303	710	1	1.0	303	710	1	1.0	303	710	1	1.0	303	710	1	1.0	303	710	1	1.0	303	710
2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154	2	1.0	444	1154
3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627	3	1.0	473	1627
4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720	4	1.0	93	1720
5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897	5	1.0	177	1897
6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164	6	1.0	267	2164
7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200	7	1.0	36	2200
8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237	8	1.0	37	2237
9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274	9	1.0	37	2274
