Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114	0	1.0	114	114
1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711	1	1.0	597	711
2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951	2	1.0	240	951
3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459	3	1.0	508	1459
4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746	4	1.0	287	1746
5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898	5	1.0	152	1898
6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188	6	1.0	290	2188
7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271	7	1.0	83	2271
8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321	8	1.0	50	2321
9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394	9	1.0	73	2394
