Episode	Accumulated Reward	Length	Steps
0	1.0	1002	1002
1	1.0	1228	2230
2	1.0	780	3010
3	1.0	563	3573
4	1.0	259	3832
5	1.0	35	3867
6	1.0	165	4032
7	1.0	216	4248
8	1.0	203	4451
9	1.0	61	4512
10	1.0	224	4736
11	1.0	38	4774
12	1.0	173	4947
13	1.0	375	5322
14	1.0	52	5374
15	1.0	112	5486
16	1.0	158	5644
17	1.0	65	5709
18	1.0	135	5844
19	1.0	24	5868
20	1.0	29	5897
21	1.0	24	5921
22	1.0	54	5975
23	1.0	106	6081
24	1.0	20	6101
25	1.0	103	6204
26	1.0	121	6325
27	1.0	30	6355
28	1.0	32	6387
29	1.0	39	6426
30	1.0	42	6468
31	1.0	37	6505
32	1.0	27	6532
33	1.0	24	6556
34	1.0	23	6579
35	1.0	16	6595
36	1.0	18	6613
37	1.0	53	6666
38	1.0	19	6685
39	1.0	43	6728
40	1.0	29	6757
41	1.0	20	6777
42	1.0	19	6796
43	1.0	16	6812
44	1.0	17	6829
45	1.0	18	6847
46	1.0	19	6866
47	1.0	25	6891
48	1.0	20	6911
49	1.0	20	6931
