Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521	0	-1709	521	521
1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627	1	-106	106	627
2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729	2	-102	102	729
3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826	3	-97	97	826
4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925	4	-99	99	925
5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004	5	-79	79	1004
6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085	6	-81	81	1085
7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195	7	-110	110	1195
8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228	8	-33	33	1228
9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303	9	-75	75	1303
10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385	10	-280	82	1385
11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479	11	-193	94	1479
12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554	12	-75	75	1554
13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634	13	-80	80	1634
14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679	14	-45	45	1679
15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708	15	-29	29	1708
16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747	16	-39	39	1747
17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780	17	-33	33	1780
18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829	18	-49	49	1829
19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870	19	-140	41	1870
