Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530	0	-1718	530	530
1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600	1	-70	70	600
2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694	2	-94	94	694
3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758	3	-64	64	758
4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842	4	-183	84	842
5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940	5	-98	98	940
6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064	6	-322	124	1064
7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106	7	-42	42	1106
8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180	8	-74	74	1180
9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238	9	-157	58	1238
