Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517	0	-1804	517	517
1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601	1	-183	84	601
2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710	2	-307	109	710
3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783	3	-73	73	783
4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897	4	-213	114	897
5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952	5	-55	55	952
6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008	6	-56	56	1008
7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118	7	-209	110	1118
8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151	8	-33	33	1151
9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247	9	-96	96	1247
10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275	10	-28	28	1275
11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309	11	-34	34	1309
12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372	12	-63	63	1372
13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424	13	-52	52	1424
14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457	14	-33	33	1457
15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517	15	-60	60	1517
