Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478	0	-1666	478	478
1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565	1	-87	87	565
2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683	2	-217	118	683
3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758	3	-75	75	758
4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804	4	-46	46	804
5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894	5	-189	90	894
6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045	6	-349	151	1045
7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150	7	-105	105	1150
8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243	8	-192	93	1243
9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350	9	-206	107	1350
