Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	714	714	0	1.0	714	714
1	1.0	1176	1890	1	1.0	1176	1890
2	1.0	1359	3249	2	1.0	1359	3249
3	1.0	294	3543	3	1.0	294	3543
4	1.0	369	3912	4	1.0	369	3912
5	1.0	692	4604	5	1.0	692	4604
6	1.0	167	4771	6	1.0	167	4771
7	1.0	163	4934	7	1.0	163	4934
8	1.0	179	5113	8	1.0	179	5113
9	1.0	118	5231	9	1.0	118	5231
10	1.0	121	5352	10	1.0	121	5352
11	1.0	46	5398	11	1.0	46	5398
12	1.0	37	5435	12	1.0	37	5435
13	1.0	28	5463	13	1.0	28	5463
14	1.0	76	5539	14	1.0	76	5539
15	1.0	107	5646	15	1.0	107	5646
16	1.0	74	5720	16	1.0	74	5720
17	1.0	136	5856	17	1.0	136	5856
18	1.0	68	5924	18	1.0	68	5924
19	1.0	28	5952	19	1.0	28	5952
20	1.0	39	5991	20	1.0	39	5991
21	1.0	95	6086	21	1.0	95	6086
22	1.0	38	6124	22	1.0	38	6124
23	1.0	16	6140	23	1.0	16	6140
24	1.0	40	6180	24	1.0	40	6180
25	1.0	26	6206	25	1.0	26	6206
26	1.0	19	6225	26	1.0	19	6225
27	1.0	41	6266	27	1.0	41	6266
28	1.0	45	6311	28	1.0	45	6311
29	1.0	49	6360	29	1.0	49	6360
30	1.0	28	6388	30	1.0	28	6388
31	1.0	16	6404	31	1.0	16	6404
32	1.0	35	6439	32	1.0	35	6439
33	1.0	32	6471	33	1.0	32	6471
34	1.0	19	6490	34	1.0	19	6490
35	1.0	26	6516	35	1.0	26	6516
36	1.0	22	6538	36	1.0	22	6538
37	1.0	30	6568	37	1.0	30	6568
38	1.0	17	6585	38	1.0	17	6585
39	1.0	16	6601	39	1.0	16	6601
40	1.0	21	6622	40	1.0	21	6622
41	1.0	16	6638	41	1.0	16	6638
42	1.0	19	6657	42	1.0	19	6657
43	1.0	18	6675	43	1.0	18	6675
44	1.0	16	6691	44	1.0	16	6691
45	1.0	18	6709	45	1.0	18	6709
46	1.0	17	6726	46	1.0	17	6726
47	1.0	16	6742	47	1.0	16	6742
48	1.0	16	6758	48	1.0	16	6758
49	1.0	18	6776	49	1.0	18	6776
