Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	487	487	0	1.0	487	487	0	1.0	487	487	0	1.0	487	487	0	1.0	487	487	0	1.0	487	487	0	1.0	487	487
1	1.0	226	713	1	1.0	226	713	1	1.0	226	713	1	1.0	226	713	1	1.0	226	713	1	1.0	226	713	1	1.0	226	713
2	1.0	79	792	2	1.0	79	792	2	1.0	79	792	2	1.0	79	792	2	1.0	79	792	2	1.0	79	792	2	1.0	79	792
3	1.0	315	1107	3	1.0	315	1107	3	1.0	315	1107	3	1.0	315	1107	3	1.0	315	1107	3	1.0	315	1107	3	1.0	315	1107
4	1.0	526	1633	4	1.0	526	1633	4	1.0	526	1633	4	1.0	526	1633	4	1.0	526	1633	4	1.0	526	1633	4	1.0	526	1633
5	1.0	115	1748	5	1.0	115	1748	5	1.0	115	1748	5	1.0	115	1748	5	1.0	115	1748	5	1.0	115	1748	5	1.0	115	1748
6	1.0	58	1806	6	1.0	58	1806	6	1.0	58	1806	6	1.0	58	1806	6	1.0	58	1806	6	1.0	58	1806	6	1.0	58	1806
7	1.0	111	1917	7	1.0	111	1917	7	1.0	111	1917	7	1.0	111	1917	7	1.0	111	1917	7	1.0	111	1917	7	1.0	111	1917
8	1.0	48	1965	8	1.0	48	1965	8	1.0	48	1965	8	1.0	48	1965	8	1.0	48	1965	8	1.0	48	1965	8	1.0	48	1965
9	1.0	29	1994	9	1.0	29	1994	9	1.0	29	1994	9	1.0	29	1994	9	1.0	29	1994	9	1.0	29	1994	9	1.0	29	1994
10	1.0	23	2017	10	1.0	23	2017	10	1.0	23	2017	10	1.0	23	2017	10	1.0	23	2017	10	1.0	23	2017	10	1.0	23	2017
11	1.0	99	2116	11	1.0	99	2116	11	1.0	99	2116	11	1.0	99	2116	11	1.0	99	2116	11	1.0	99	2116	11	1.0	99	2116
12	1.0	236	2352	12	1.0	236	2352	12	1.0	236	2352	12	1.0	236	2352	12	1.0	236	2352	12	1.0	236	2352	12	1.0	236	2352
13	1.0	67	2419	13	1.0	67	2419	13	1.0	67	2419	13	1.0	67	2419	13	1.0	67	2419	13	1.0	67	2419	13	1.0	67	2419
14	1.0	146	2565	14	1.0	146	2565	14	1.0	146	2565	14	1.0	146	2565	14	1.0	146	2565	14	1.0	146	2565	14	1.0	146	2565
15	1.0	26	2591	15	1.0	26	2591	15	1.0	26	2591	15	1.0	26	2591	15	1.0	26	2591	15	1.0	26	2591	15	1.0	26	2591
16	1.0	106	2697	16	1.0	106	2697	16	1.0	106	2697	16	1.0	106	2697	16	1.0	106	2697	16	1.0	106	2697	16	1.0	106	2697
17	1.0	41	2738	17	1.0	41	2738	17	1.0	41	2738	17	1.0	41	2738	17	1.0	41	2738	17	1.0	41	2738	17	1.0	41	2738
18	1.0	168	2906	18	1.0	168	2906	18	1.0	168	2906	18	1.0	168	2906	18	1.0	168	2906	18	1.0	168	2906	18	1.0	168	2906
19	1.0	101	3007	19	1.0	101	3007	19	1.0	101	3007	19	1.0	101	3007	19	1.0	101	3007	19	1.0	101	3007	19	1.0	101	3007
20	1.0	143	3150	20	1.0	143	3150	20	1.0	143	3150	20	1.0	143	3150	20	1.0	143	3150	20	1.0	143	3150	20	1.0	143	3150
21	1.0	52	3202	21	1.0	52	3202	21	1.0	52	3202	21	1.0	52	3202	21	1.0	52	3202	21	1.0	52	3202	21	1.0	52	3202
22	1.0	37	3239	22	1.0	37	3239	22	1.0	37	3239	22	1.0	37	3239	22	1.0	37	3239	22	1.0	37	3239	22	1.0	37	3239
23	1.0	29	3268	23	1.0	29	3268	23	1.0	29	3268	23	1.0	29	3268	23	1.0	29	3268	23	1.0	29	3268	23	1.0	29	3268
24	1.0	163	3431	24	1.0	163	3431	24	1.0	163	3431	24	1.0	163	3431	24	1.0	163	3431	24	1.0	163	3431	24	1.0	163	3431
25	1.0	36	3467	25	1.0	36	3467	25	1.0	36	3467	25	1.0	36	3467	25	1.0	36	3467	25	1.0	36	3467	25	1.0	36	3467
26	1.0	19	3486	26	1.0	19	3486	26	1.0	19	3486	26	1.0	19	3486	26	1.0	19	3486	26	1.0	19	3486	26	1.0	19	3486
27	1.0	24	3510	27	1.0	24	3510	27	1.0	24	3510	27	1.0	24	3510	27	1.0	24	3510	27	1.0	24	3510	27	1.0	24	3510
28	1.0	30	3540	28	1.0	30	3540	28	1.0	30	3540	28	1.0	30	3540	28	1.0	30	3540	28	1.0	30	3540	28	1.0	30	3540
29	1.0	19	3559	29	1.0	19	3559	29	1.0	19	3559	29	1.0	19	3559	29	1.0	19	3559	29	1.0	19	3559	29	1.0	19	3559
30	1.0	25	3584	30	1.0	25	3584	30	1.0	25	3584	30	1.0	25	3584	30	1.0	25	3584	30	1.0	25	3584	30	1.0	25	3584
31	1.0	27	3611	31	1.0	27	3611	31	1.0	27	3611	31	1.0	27	3611	31	1.0	27	3611	31	1.0	27	3611	31	1.0	27	3611
32	1.0	20	3631	32	1.0	20	3631	32	1.0	20	3631	32	1.0	20	3631	32	1.0	20	3631	32	1.0	20	3631	32	1.0	20	3631
33	1.0	39	3670	33	1.0	39	3670	33	1.0	39	3670	33	1.0	39	3670	33	1.0	39	3670	33	1.0	39	3670	33	1.0	39	3670
34	1.0	18	3688	34	1.0	18	3688	34	1.0	18	3688	34	1.0	18	3688	34	1.0	18	3688	34	1.0	18	3688	34	1.0	18	3688
35	1.0	39	3727	35	1.0	39	3727	35	1.0	39	3727	35	1.0	39	3727	35	1.0	39	3727	35	1.0	39	3727	35	1.0	39	3727
36	1.0	18	3745	36	1.0	18	3745	36	1.0	18	3745	36	1.0	18	3745	36	1.0	18	3745	36	1.0	18	3745	36	1.0	18	3745
37	1.0	38	3783	37	1.0	38	3783	37	1.0	38	3783	37	1.0	38	3783	37	1.0	38	3783	37	1.0	38	3783	37	1.0	38	3783
38	1.0	27	3810	38	1.0	27	3810	38	1.0	27	3810	38	1.0	27	3810	38	1.0	27	3810	38	1.0	27	3810	38	1.0	27	3810
39	1.0	49	3859	39	1.0	49	3859	39	1.0	49	3859	39	1.0	49	3859	39	1.0	49	3859	39	1.0	49	3859	39	1.0	49	3859
40	1.0	17	3876	40	1.0	17	3876	40	1.0	17	3876	40	1.0	17	3876	40	1.0	17	3876	40	1.0	17	3876	40	1.0	17	3876
41	1.0	20	3896	41	1.0	20	3896	41	1.0	20	3896	41	1.0	20	3896	41	1.0	20	3896	41	1.0	20	3896	41	1.0	20	3896
42	1.0	29	3925	42	1.0	29	3925	42	1.0	29	3925	42	1.0	29	3925	42	1.0	29	3925	42	1.0	29	3925	42	1.0	29	3925
43	1.0	16	3941	43	1.0	16	3941	43	1.0	16	3941	43	1.0	16	3941	43	1.0	16	3941	43	1.0	16	3941	43	1.0	16	3941
44	1.0	26	3967	44	1.0	26	3967	44	1.0	26	3967	44	1.0	26	3967	44	1.0	26	3967	44	1.0	26	3967	44	1.0	26	3967
45	1.0	16	3983	45	1.0	16	3983	45	1.0	16	3983	45	1.0	16	3983	45	1.0	16	3983	45	1.0	16	3983	45	1.0	16	3983
46	1.0	16	3999	46	1.0	16	3999	46	1.0	16	3999	46	1.0	16	3999	46	1.0	16	3999	46	1.0	16	3999	46	1.0	16	3999
47	1.0	21	4020	47	1.0	21	4020	47	1.0	21	4020	47	1.0	21	4020	47	1.0	21	4020	47	1.0	21	4020	47	1.0	21	4020
48	1.0	19	4039	48	1.0	19	4039	48	1.0	19	4039	48	1.0	19	4039	48	1.0	19	4039	48	1.0	19	4039	48	1.0	19	4039
49	1.0	16	4055	49	1.0	16	4055	49	1.0	16	4055	49	1.0	16	4055	49	1.0	16	4055	49	1.0	16	4055	49	1.0	16	4055
