Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002	0	1.0	1002	1002
1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063	1	1.0	61	1063
2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423	2	1.0	360	1423
3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734	3	1.0	311	1734
4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997	4	1.0	263	1997
5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117	5	1.0	120	2117
6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159	6	1.0	42	2159
7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217	7	1.0	58	2217
8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611	8	1.0	394	2611
9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648	9	1.0	37	2648
10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781	10	1.0	133	2781
11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819	11	1.0	38	2819
12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061	12	1.0	242	3061
13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082	13	1.0	21	3082
14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200	14	1.0	118	3200
15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250	15	1.0	50	3250
16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383	16	1.0	133	3383
17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413	17	1.0	30	3413
18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442	18	1.0	29	3442
19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461	19	1.0	19	3461
20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475	20	1.0	14	3475
21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536	21	1.0	61	3536
22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554	22	1.0	18	3554
23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583	23	1.0	29	3583
24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652	24	1.0	69	3652
25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681	25	1.0	29	3681
26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707	26	1.0	26	3707
27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727	27	1.0	20	3727
28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748	28	1.0	21	3748
29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770	29	1.0	22	3770
30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788	30	1.0	18	3788
31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805	31	1.0	17	3805
32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822	32	1.0	17	3822
33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844	33	1.0	22	3844
34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858	34	1.0	14	3858
35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874	35	1.0	16	3874
36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893	36	1.0	19	3893
37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916	37	1.0	23	3916
38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934	38	1.0	18	3934
39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953	39	1.0	19	3953
40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967	40	1.0	14	3967
41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983	41	1.0	16	3983
42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997	42	1.0	14	3997
43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013	43	1.0	16	4013
44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028	44	1.0	15	4028
