Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152	0	1.0	1152	1152
1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124	1	1.0	972	2124
2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073	2	1.0	949	3073
3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303	3	1.0	230	3303
4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538	4	1.0	235	3538
5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588	5	1.0	50	3588
6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165	6	1.0	577	4165
7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525	7	1.0	360	4525
8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616	8	1.0	91	4616
9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706	9	1.0	90	4706
