Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286	0	-1177	286	286
1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654	1	-764	368	654
2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733	2	-178	79	733
3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837	3	-104	104	837
4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896	4	-59	59	896
5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994	5	-98	98	994
6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037	6	-43	43	1037
7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107	7	-169	70	1107
8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154	8	-47	47	1154
9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243	9	-89	89	1243
