Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511	0	-1600	511	511
1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677	1	-364	166	677
2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783	2	-106	106	783
3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826	3	-43	43	826
4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987	4	-359	161	987
5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063	5	-76	76	1063
6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110	6	-47	47	1110
7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158	7	-48	48	1158
8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219	8	-61	61	1219
9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272	9	-53	53	1272
