Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201	0	-894	201	201
1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712	1	-1501	511	712
2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907	2	-294	195	907
3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962	3	-154	55	962
4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020	4	-58	58	1020
5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139	5	-119	119	1139
6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227	6	-187	88	1227
7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269	7	-42	42	1269
8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348	8	-79	79	1348
9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385	9	-37	37	1385
