Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549	0	-2133	549	549
1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702	1	-252	153	702
2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770	2	-68	68	770
3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884	3	-114	114	884
4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976	4	-92	92	976
5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052	5	-175	76	1052
6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115	6	-63	63	1115
7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216	7	-101	101	1216
8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240	8	-24	24	1240
9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308	9	-68	68	1308
10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406	10	-197	98	1406
11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445	11	-39	39	1445
12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525	12	-179	80	1525
13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563	13	-38	38	1563
14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612	14	-148	49	1612
15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695	15	-281	83	1695
16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732	16	-37	37	1732
17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785	17	-53	53	1785
18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829	18	-44	44	1829
19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862	19	-33	33	1862
20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887	20	-25	25	1887
21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933	21	-46	46	1933
22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962	22	-29	29	1962
