Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	623	623	0	1.0	623	623	0	1.0	623	623
1	1.0	21	644	1	1.0	21	644	1	1.0	21	644
2	1.0	16	660	2	1.0	16	660	2	1.0	16	660
3	1.0	18	678	3	1.0	18	678	3	1.0	18	678
4	1.0	16	694	4	1.0	16	694	4	1.0	16	694
5	1.0	34	728	5	1.0	34	728	5	1.0	34	728
6	1.0	20	748	6	1.0	20	748	6	1.0	20	748
7	1.0	20	768	7	1.0	20	768	7	1.0	20	768
8	1.0	16	784	8	1.0	16	784	8	1.0	16	784
9	1.0	18	802	9	1.0	18	802	9	1.0	18	802
10	1.0	16	818	10	1.0	16	818	10	1.0	16	818
11	1.0	19	837	11	1.0	19	837	11	1.0	19	837
12	1.0	16	853	12	1.0	16	853	12	1.0	16	853
13	1.0	24	877	13	1.0	24	877	13	1.0	24	877
14	1.0	16	893	14	1.0	16	893	14	1.0	16	893
15	1.0	21	914	15	1.0	21	914	15	1.0	21	914
16	1.0	20	934	16	1.0	20	934	16	1.0	20	934
17	1.0	20	954	17	1.0	20	954	17	1.0	20	954
18	1.0	16	970	18	1.0	16	970	18	1.0	16	970
19	1.0	24	994	19	1.0	24	994	19	1.0	24	994
20	1.0	19	1013	20	1.0	19	1013	20	1.0	19	1013
21	1.0	21	1034	21	1.0	21	1034	21	1.0	21	1034
22	1.0	17	1051	22	1.0	17	1051	22	1.0	17	1051
23	1.0	20	1071	23	1.0	20	1071	23	1.0	20	1071
24	1.0	17	1088	24	1.0	17	1088	24	1.0	17	1088
25	1.0	26	1114	25	1.0	26	1114	25	1.0	26	1114
26	1.0	16	1130	26	1.0	16	1130	26	1.0	16	1130
27	1.0	16	1146	27	1.0	16	1146	27	1.0	16	1146
28	1.0	20	1166	28	1.0	20	1166	28	1.0	20	1166
29	1.0	22	1188	29	1.0	22	1188	29	1.0	22	1188
30	1.0	21	1209	30	1.0	21	1209	30	1.0	21	1209
31	1.0	25	1234	31	1.0	25	1234	31	1.0	25	1234
32	1.0	21	1255	32	1.0	21	1255	32	1.0	21	1255
33	1.0	18	1273	33	1.0	18	1273	33	1.0	18	1273
34	1.0	19	1292	34	1.0	19	1292	34	1.0	19	1292
35	1.0	18	1310	35	1.0	18	1310	35	1.0	18	1310
36	1.0	19	1329	36	1.0	19	1329	36	1.0	19	1329
37	1.0	18	1347	37	1.0	18	1347	37	1.0	18	1347
38	1.0	24	1371	38	1.0	24	1371	38	1.0	24	1371
39	1.0	21	1392	39	1.0	21	1392	39	1.0	21	1392
40	1.0	21	1413	40	1.0	21	1413	40	1.0	21	1413
41	1.0	16	1429	41	1.0	16	1429	41	1.0	16	1429
42	1.0	17	1446	42	1.0	17	1446	42	1.0	17	1446
43	1.0	16	1462	43	1.0	16	1462	43	1.0	16	1462
44	1.0	16	1478	44	1.0	16	1478	44	1.0	16	1478
45	1.0	23	1501	45	1.0	23	1501	45	1.0	23	1501
46	1.0	16	1517	46	1.0	16	1517	46	1.0	16	1517
47	1.0	17	1534	47	1.0	17	1534	47	1.0	17	1534
48	1.0	16	1550	48	1.0	16	1550	48	1.0	16	1550
49	1.0	25	1575	49	1.0	25	1575	49	1.0	25	1575
