Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	898	898	0	1.0	898	898	0	1.0	898	898	0	1.0	898	898	0	1.0	898	898	0	1.0	898	898	0	1.0	898	898	0	1.0	898	898
1	1.0	57	955	1	1.0	57	955	1	1.0	57	955	1	1.0	57	955	1	1.0	57	955	1	1.0	57	955	1	1.0	57	955	1	1.0	57	955
2	1.0	33	988	2	1.0	33	988	2	1.0	33	988	2	1.0	33	988	2	1.0	33	988	2	1.0	33	988	2	1.0	33	988	2	1.0	33	988
3	1.0	21	1009	3	1.0	21	1009	3	1.0	21	1009	3	1.0	21	1009	3	1.0	21	1009	3	1.0	21	1009	3	1.0	21	1009	3	1.0	21	1009
4	1.0	24	1033	4	1.0	24	1033	4	1.0	24	1033	4	1.0	24	1033	4	1.0	24	1033	4	1.0	24	1033	4	1.0	24	1033	4	1.0	24	1033
5	1.0	47	1080	5	1.0	47	1080	5	1.0	47	1080	5	1.0	47	1080	5	1.0	47	1080	5	1.0	47	1080	5	1.0	47	1080	5	1.0	47	1080
6	1.0	43	1123	6	1.0	43	1123	6	1.0	43	1123	6	1.0	43	1123	6	1.0	43	1123	6	1.0	43	1123	6	1.0	43	1123	6	1.0	43	1123
7	1.0	24	1147	7	1.0	24	1147	7	1.0	24	1147	7	1.0	24	1147	7	1.0	24	1147	7	1.0	24	1147	7	1.0	24	1147	7	1.0	24	1147
8	1.0	28	1175	8	1.0	28	1175	8	1.0	28	1175	8	1.0	28	1175	8	1.0	28	1175	8	1.0	28	1175	8	1.0	28	1175	8	1.0	28	1175
9	1.0	25	1200	9	1.0	25	1200	9	1.0	25	1200	9	1.0	25	1200	9	1.0	25	1200	9	1.0	25	1200	9	1.0	25	1200	9	1.0	25	1200
