Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596	0	1.0	596	596
1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677	1	1.0	81	677
2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727	2	1.0	50	727
3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769	3	1.0	42	769
4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836	4	1.0	67	836
5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898	5	1.0	62	898
6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944	6	1.0	46	944
7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997	7	1.0	53	997
8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053	8	1.0	56	1053
9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090	9	1.0	37	1090
10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136	10	1.0	46	1136
11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163	11	1.0	27	1163
