Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216	0	1.0	2216	2216
1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308	1	1.0	92	2308
2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339	2	1.0	31	2339
3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362	3	1.0	23	2362
4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387	4	1.0	25	2387
5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415	5	1.0	28	2415
6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441	6	1.0	26	2441
7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473	7	1.0	32	2473
8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491	8	1.0	18	2491
9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518	9	1.0	27	2518
10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565	10	1.0	47	2565
11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592	11	1.0	27	2592
12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614	12	1.0	22	2614
13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639	13	1.0	25	2639
14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656	14	1.0	17	2656
15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677	15	1.0	21	2677
16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693	16	1.0	16	2693
17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715	17	1.0	22	2715
18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735	18	1.0	20	2735
19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787	19	1.0	52	2787
20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814	20	1.0	27	2814
21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830	21	1.0	16	2830
22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846	22	1.0	16	2846
23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865	23	1.0	19	2865
24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881	24	1.0	16	2881
25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920	25	1.0	39	2920
26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936	26	1.0	16	2936
27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952	27	1.0	16	2952
28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970	28	1.0	18	2970
29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007	29	1.0	37	3007
30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027	30	1.0	20	3027
31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045	31	1.0	18	3045
32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090	32	1.0	45	3090
33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135	33	1.0	45	3135
34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151	34	1.0	16	3151
