Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314	0	-3096	1314	1314
1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405	1	-91	91	1405
2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430	2	-25	25	1430
3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457	3	-27	27	1457
4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480	4	-23	23	1480
5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505	5	-25	25	1505
6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535	6	-129	30	1535
7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562	7	-126	27	1562
8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583	8	-21	21	1583
9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606	9	-23	23	1606
