Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907	0	-5164	907	907
1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477	1	-1065	570	1477
2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604	2	-127	127	1604
3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629	3	-25	25	1629
4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671	4	-42	42	1671
5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690	5	-19	19	1690
6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709	6	-19	19	1709
7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730	7	-21	21	1730
8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751	8	-21	21	1751
9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784	9	-33	33	1784
