Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786	0	-1974	786	786
1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014	1	-525	228	1014
2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050	2	-36	36	1050
3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081	3	-31	31	1081
4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099	4	-18	18	1099
5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119	5	-20	20	1119
6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144	6	-25	25	1144
7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175	7	-31	31	1175
8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217	8	-42	42	1217
9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240	9	-23	23	1240
