Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799	0	-15877	3799	3799
1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169	1	-370	370	4169
2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218	2	-49	49	4218
3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251	3	-33	33	4251
4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291	4	-40	40	4291
5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340	5	-49	49	4340
6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380	6	-40	40	4380
7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500	7	-318	120	4500
8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521	8	-21	21	4521
9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548	9	-27	27	4548
