Episode	Accumulated Reward	Length	Steps
0	8.0	8	8
1	20.0	20	28
2	14.0	14	42
3	18.0	18	60
4	27.0	27	87
5	11.0	11	98
6	19.0	19	117
7	18.0	18	135
8	13.0	13	148
9	40.0	40	188
10	23.0	23	211
11	15.0	15	226
12	20.0	20	246
13	41.0	41	287
14	36.0	36	323
15	23.0	23	346
16	16.0	16	362
17	19.0	19	381
18	57.0	57	438
19	31.0	31	469
20	18.0	18	487
21	17.0	17	504
22	10.0	10	514
23	27.0	27	541
24	13.0	13	554
25	14.0	14	568
26	22.0	22	590
27	22.0	22	612
28	13.0	13	625
29	55.0	55	680
30	20.0	20	700
31	10.0	10	710
32	12.0	12	722
33	47.0	47	769
34	19.0	19	788
35	12.0	12	800
36	17.0	17	817
37	30.0	30	847
38	19.0	19	866
39	34.0	34	900
40	39.0	39	939
41	25.0	25	964
42	18.0	18	982
43	25.0	25	1007
44	21.0	21	1028
45	26.0	26	1054
46	9.0	9	1063
47	36.0	36	1099
48	16.0	16	1115
49	11.0	11	1126
50	12.0	12	1138
51	13.0	13	1151
52	27.0	27	1178
53	13.0	13	1191
54	23.0	23	1214
55	26.0	26	1240
56	21.0	21	1261
57	26.0	26	1287
58	23.0	23	1310
59	40.0	40	1350
60	26.0	26	1376
61	40.0	40	1416
62	63.0	63	1479
63	24.0	24	1503
64	61.0	61	1564
65	49.0	49	1613
66	93.0	93	1706
67	25.0	25	1731
68	37.0	37	1768
69	91.0	91	1859
70	30.0	30	1889
71	80.0	80	1969
72	49.0	49	2018
73	125.0	125	2143
74	69.0	69	2212
75	79.0	79	2291
76	84.0	84	2375
77	40.0	40	2415
78	33.0	33	2448
79	191.0	191	2639
80	79.0	79	2718
81	21.0	21	2739
82	151.0	151	2890
83	76.0	76	2966
84	129.0	129	3095
85	101.0	101	3196
86	20.0	20	3216
87	200.0	200	3416
88	126.0	126	3542
89	193.0	193	3735
90	200.0	200	3935
91	200.0	200	4135
92	200.0	200	4335
93	200.0	200	4535
94	196.0	196	4731
95	200.0	200	4931
96	200.0	200	5131
97	200.0	200	5331
98	200.0	200	5531
99	189.0	189	5720
100	176.0	176	5896
101	200.0	200	6096
102	176.0	176	6272
103	200.0	200	6472
104	200.0	200	6672
105	192.0	192	6864
106	200.0	200	7064
107	161.0	161	7225
108	200.0	200	7425
109	187.0	187	7612
110	200.0	200	7812
111	200.0	200	8012
112	200.0	200	8212
113	200.0	200	8412
114	200.0	200	8612
115	200.0	200	8812
116	200.0	200	9012
117	200.0	200	9212
118	200.0	200	9412
119	169.0	169	9581
120	200.0	200	9781
121	200.0	200	9981
122	200.0	200	10181
123	200.0	200	10381
124	169.0	169	10550
125	200.0	200	10750
126	200.0	200	10950
127	200.0	200	11150
128	200.0	200	11350
129	171.0	171	11521
130	200.0	200	11721
131	200.0	200	11921
132	200.0	200	12121
133	200.0	200	12321
134	191.0	191	12512
135	200.0	200	12712
136	191.0	191	12903
137	200.0	200	13103
138	198.0	198	13301
139	200.0	200	13501
140	189.0	189	13690
141	176.0	176	13866
142	171.0	171	14037
143	188.0	188	14225
144	185.0	185	14410
145	194.0	194	14604
146	200.0	200	14804
147	193.0	193	14997
148	200.0	200	15197
149	200.0	200	15397
150	200.0	200	15597
151	200.0	200	15797
152	200.0	200	15997
153	200.0	200	16197
154	200.0	200	16397
155	200.0	200	16597
156	200.0	200	16797
157	162.0	162	16959
158	200.0	200	17159
159	200.0	200	17359
160	200.0	200	17559
161	196.0	196	17755
162	193.0	193	17948
163	173.0	173	18121
164	200.0	200	18321
165	181.0	181	18502
166	200.0	200	18702
167	200.0	200	18902
168	162.0	162	19064
169	199.0	199	19263
170	200.0	200	19463
171	187.0	187	19650
172	162.0	162	19812
173	178.0	178	19990
174	200.0	200	20190
175	160.0	160	20350
176	200.0	200	20550
177	200.0	200	20750
178	194.0	194	20944
179	182.0	182	21126
180	147.0	147	21273
181	200.0	200	21473
182	200.0	200	21673
183	200.0	200	21873
184	180.0	180	22053
185	154.0	154	22207
186	179.0	179	22386
187	200.0	200	22586
188	166.0	166	22752
189	170.0	170	22922
190	183.0	183	23105
191	197.0	197	23302
192	144.0	144	23446
193	195.0	195	23641
194	182.0	182	23823
195	200.0	200	24023
196	181.0	181	24204
197	148.0	148	24352
198	149.0	149	24501
199	153.0	153	24654
