Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0	0.0	33.0	33.0	33.0
1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0	1.0	32.0	32.0	65.0
2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0	2.0	13.0	13.0	78.0
3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0	3.0	19.0	19.0	97.0
4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0	4.0	15.0	15.0	112.0
5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0	5.0	24.0	24.0	136.0
6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0	6.0	81.0	81.0	217.0
7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0	7.0	13.0	13.0	230.0
8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0	8.0	57.0	57.0	287.0
9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0	9.0	15.0	15.0	302.0
10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0	10.0	20.0	20.0	322.0
11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0	11.0	17.0	17.0	339.0
12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0	12.0	20.0	20.0	359.0
13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0	13.0	14.0	14.0	373.0
14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0	14.0	20.0	20.0	393.0
15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0	15.0	14.0	14.0	407.0
16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0	16.0	15.0	15.0	422.0
17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0	17.0	24.0	24.0	446.0
18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0	18.0	15.0	15.0	461.0
19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0	19.0	12.0	12.0	473.0
20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0	20.0	30.0	30.0	503.0
21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0	21.0	22.0	22.0	525.0
22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0	22.0	18.0	18.0	543.0
23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0	23.0	17.0	17.0	560.0
24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0	24.0	14.0	14.0	574.0
25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0	25.0	10.0	10.0	584.0
26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0	26.0	11.0	11.0	595.0
27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0	27.0	17.0	17.0	612.0
28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0	28.0	19.0	19.0	631.0
29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0	29.0	31.0	31.0	662.0
30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0	30.0	22.0	22.0	684.0
31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0	31.0	17.0	17.0	701.0
32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0	32.0	10.0	10.0	711.0
33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0	33.0	37.0	37.0	748.0
34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0	34.0	15.0	15.0	763.0
35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0	35.0	12.0	12.0	775.0
36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0	36.0	12.0	12.0	787.0
37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0	37.0	22.0	22.0	809.0
38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0	38.0	11.0	11.0	820.0
39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0	39.0	13.0	13.0	833.0
40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0	40.0	13.0	13.0	846.0
41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0	41.0	11.0	11.0	857.0
42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0	42.0	40.0	40.0	897.0
43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0	43.0	15.0	15.0	912.0
44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0	44.0	41.0	41.0	953.0
45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0	45.0	15.0	15.0	968.0
46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0	46.0	14.0	14.0	982.0
47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0	47.0	10.0	10.0	992.0
48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0	48.0	17.0	17.0	1009.0
49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0	49.0	29.0	29.0	1038.0
50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0	50.0	12.0	12.0	1050.0
51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0	51.0	27.0	27.0	1077.0
52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0	52.0	15.0	15.0	1092.0
53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0	53.0	57.0	57.0	1149.0
54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0	54.0	32.0	32.0	1181.0
55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0	55.0	15.0	15.0	1196.0
56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0	56.0	10.0	10.0	1206.0
57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0	57.0	20.0	20.0	1226.0
58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0	58.0	16.0	16.0	1242.0
59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0	59.0	22.0	22.0	1264.0
60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0	60.0	34.0	34.0	1298.0
61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0	61.0	31.0	31.0	1329.0
62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0	62.0	22.0	22.0	1351.0
63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0	63.0	11.0	11.0	1362.0
64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0	64.0	18.0	18.0	1380.0
65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0	65.0	27.0	27.0	1407.0
66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0	66.0	60.0	60.0	1467.0
67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0	67.0	21.0	21.0	1488.0
