Episode	Accumulated Reward	Length	Steps
0	-1935	648	648
1	-392	293	941
2	-133	133	1074
3	-535	337	1411
4	-502	304	1715
5	-703	406	2121
6	-679	283	2404
7	-373	274	2678
8	-157	157	2835
9	-211	112	2947
10	-225	126	3073
11	-444	246	3319
12	-140	140	3459
13	-87	87	3546
14	-447	249	3795
15	-78	78	3873
16	-109	109	3982
17	-408	111	4093
18	-81	81	4174
19	-417	219	4393
20	-155	56	4449
21	-64	64	4513
22	-90	90	4603
23	-71	71	4674
24	-65	65	4739
25	-21	21	4760
26	-213	114	4874
27	-35	35	4909
28	-55	55	4964
29	-39	39	5003
30	-74	74	5077
31	-330	132	5209
32	-37	37	5246
33	-175	76	5322
34	-81	81	5403
35	-52	52	5455
36	-41	41	5496
37	-69	69	5565
38	-173	74	5639
39	-47	47	5686
40	-174	75	5761
41	-67	67	5828
42	-50	50	5878
43	-65	65	5943
44	-138	39	5982
45	-89	89	6071
46	-271	73	6144
47	-48	48	6192
48	-37	37	6229
49	-61	61	6290
50	-61	61	6351
51	-59	59	6410
52	-173	74	6484
53	-61	61	6545
54	-40	40	6585
55	-154	55	6640
56	-56	56	6696
57	-171	72	6768
58	-33	33	6801
59	-34	34	6835
60	-74	74	6909
61	-46	46	6955
62	-47	47	7002
63	-158	59	7061
64	-23	23	7084
65	-158	59	7143
66	-58	58	7201
67	-61	61	7262
68	-23	23	7285
69	-27	27	7312
70	-47	47	7359
71	-60	60	7419
72	-24	24	7443
73	-53	53	7496
74	-42	42	7538
75	-39	39	7577
76	-56	56	7633
77	-38	38	7671
78	-39	39	7710
79	-45	45	7755
80	-44	44	7799
81	-33	33	7832
82	-85	85	7917
83	-37	37	7954
84	-36	36	7990
85	-39	39	8029
86	-298	100	8129
87	-45	45	8174
88	-32	32	8206
89	-59	59	8265
90	-26	26	8291
91	-38	38	8329
92	-182	83	8412
93	-39	39	8451
94	-32	32	8483
95	-45	45	8528
96	-27	27	8555
97	-26	26	8581
98	-40	40	8621
99	-22	22	8643
100	-42	42	8685
101	-146	47	8732
102	-125	26	8758
103	-31	31	8789
104	-28	28	8817
105	-34	34	8851
106	-49	49	8900
107	-30	30	8930
108	-46	46	8976
109	-22	22	8998
110	-35	35	9033
111	-36	36	9069
112	-37	37	9106
113	-27	27	9133
114	-31	31	9164
115	-28	28	9192
116	-33	33	9225
117	-33	33	9258
118	-26	26	9284
119	-124	25	9309
120	-32	32	9341
121	-57	57	9398
122	-26	26	9424
123	-22	22	9446
124	-44	44	9490
125	-28	28	9518
126	-40	40	9558
127	-165	66	9624
128	-49	49	9673
129	-156	57	9730
130	-27	27	9757
131	-20	20	9777
132	-48	48	9825
133	-133	34	9859
134	-37	37	9896
135	-37	37	9933
136	-20	20	9953
137	-34	34	9987
138	-265	67	10054
139	-29	29	10083
140	-29	29	10112
141	-33	33	10145
142	-34	34	10179
143	-28	28	10207
144	-123	24	10231
145	-38	38	10269
146	-23	23	10292
147	-31	31	10323
148	-29	29	10352
149	-28	28	10380
150	-25	25	10405
151	-25	25	10430
152	-40	40	10470
153	-24	24	10494
154	-17	17	10511
155	-31	31	10542
156	-123	24	10566
157	-21	21	10587
158	-25	25	10612
159	-23	23	10635
160	-27	27	10662
161	-23	23	10685
162	-26	26	10711
163	-24	24	10735
164	-35	35	10770
165	-33	33	10803
166	-26	26	10829
167	-26	26	10855
168	-21	21	10876
169	-16	16	10892
170	-27	27	10919
171	-24	24	10943
172	-128	29	10972
173	-17	17	10989
174	-136	37	11026
175	-22	22	11048
176	-31	31	11079
177	-23	23	11102
178	-21	21	11123
179	-19	19	11142
180	-28	28	11170
181	-24	24	11194
182	-43	43	11237
183	-24	24	11261
184	-31	31	11292
185	-36	36	11328
186	-133	34	11362
187	-23	23	11385
188	-15	15	11400
189	-20	20	11420
190	-26	26	11446
191	-20	20	11466
192	-19	19	11485
193	-18	18	11503
194	-20	20	11523
195	-23	23	11546
196	-22	22	11568
197	-23	23	11591
198	-17	17	11608
199	-21	21	11629
