Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-3025	1045	1045	0	-3025	1045	1045	0	-3025	1045	1045	0	-3025	1045	1045
1	-551	353	1398	1	-551	353	1398	1	-551	353	1398	1	-551	353	1398
2	-111	111	1509	2	-111	111	1509	2	-111	111	1509	2	-111	111	1509
3	-396	198	1707	3	-396	198	1707	3	-396	198	1707	3	-396	198	1707
4	-72	72	1779	4	-72	72	1779	4	-72	72	1779	4	-72	72	1779
5	-103	103	1882	5	-103	103	1882	5	-103	103	1882	5	-103	103	1882
6	-280	181	2063	6	-280	181	2063	6	-280	181	2063	6	-280	181	2063
7	-383	86	2149	7	-383	86	2149	7	-383	86	2149	7	-383	86	2149
8	-497	299	2448	8	-497	299	2448	8	-497	299	2448	8	-497	299	2448
9	-82	82	2530	9	-82	82	2530	9	-82	82	2530	9	-82	82	2530
10	-46	46	2576	10	-46	46	2576	10	-46	46	2576	10	-46	46	2576
11	-195	195	2771	11	-195	195	2771	11	-195	195	2771	11	-195	195	2771
12	-203	104	2875	12	-203	104	2875	12	-203	104	2875	12	-203	104	2875
13	-70	70	2945	13	-70	70	2945	13	-70	70	2945	13	-70	70	2945
14	-109	109	3054	14	-109	109	3054	14	-109	109	3054	14	-109	109	3054
15	-91	91	3145	15	-91	91	3145	15	-91	91	3145	15	-91	91	3145
16	-100	100	3245	16	-100	100	3245	16	-100	100	3245	16	-100	100	3245
17	-389	191	3436	17	-389	191	3436	17	-389	191	3436	17	-389	191	3436
18	-57	57	3493	18	-57	57	3493	18	-57	57	3493	18	-57	57	3493
19	-42	42	3535	19	-42	42	3535	19	-42	42	3535	19	-42	42	3535
20	-324	126	3661	20	-324	126	3661	20	-324	126	3661	20	-324	126	3661
21	-50	50	3711	21	-50	50	3711	21	-50	50	3711	21	-50	50	3711
22	-91	91	3802	22	-91	91	3802	22	-91	91	3802	22	-91	91	3802
23	-50	50	3852	23	-50	50	3852	23	-50	50	3852	23	-50	50	3852
24	-85	85	3937	24	-85	85	3937	24	-85	85	3937	24	-85	85	3937
25	-48	48	3985	25	-48	48	3985	25	-48	48	3985	25	-48	48	3985
26	-61	61	4046	26	-61	61	4046	26	-61	61	4046	26	-61	61	4046
27	-513	216	4262	27	-513	216	4262	27	-513	216	4262	27	-513	216	4262
28	-81	81	4343	28	-81	81	4343	28	-81	81	4343	28	-81	81	4343
29	-208	109	4452	29	-208	109	4452	29	-208	109	4452	29	-208	109	4452
30	-271	172	4624	30	-271	172	4624	30	-271	172	4624	30	-271	172	4624
31	-333	135	4759	31	-333	135	4759	31	-333	135	4759	31	-333	135	4759
32	-52	52	4811	32	-52	52	4811	32	-52	52	4811	32	-52	52	4811
33	-253	154	4965	33	-253	154	4965	33	-253	154	4965	33	-253	154	4965
34	-290	191	5156	34	-290	191	5156	34	-290	191	5156	34	-290	191	5156
35	-187	88	5244	35	-187	88	5244	35	-187	88	5244	35	-187	88	5244
36	-58	58	5302	36	-58	58	5302	36	-58	58	5302	36	-58	58	5302
37	-78	78	5380	37	-78	78	5380	37	-78	78	5380	37	-78	78	5380
38	-58	58	5438	38	-58	58	5438	38	-58	58	5438	38	-58	58	5438
39	-78	78	5516	39	-78	78	5516	39	-78	78	5516	39	-78	78	5516
40	-183	84	5600	40	-183	84	5600	40	-183	84	5600	40	-183	84	5600
41	-61	61	5661	41	-61	61	5661	41	-61	61	5661	41	-61	61	5661
42	-161	62	5723	42	-161	62	5723	42	-161	62	5723	42	-161	62	5723
43	-38	38	5761	43	-38	38	5761	43	-38	38	5761	43	-38	38	5761
44	-316	118	5879	44	-316	118	5879	44	-316	118	5879	44	-316	118	5879
45	-52	52	5931	45	-52	52	5931	45	-52	52	5931	45	-52	52	5931
46	-69	69	6000	46	-69	69	6000	46	-69	69	6000	46	-69	69	6000
47	-70	70	6070	47	-70	70	6070	47	-70	70	6070	47	-70	70	6070
48	-51	51	6121	48	-51	51	6121	48	-51	51	6121	48	-51	51	6121
49	-174	75	6196	49	-174	75	6196	49	-174	75	6196	49	-174	75	6196
50	-148	49	6245	50	-148	49	6245	50	-148	49	6245	50	-148	49	6245
51	-89	89	6334	51	-89	89	6334	51	-89	89	6334	51	-89	89	6334
52	-56	56	6390	52	-56	56	6390	52	-56	56	6390	52	-56	56	6390
53	-190	91	6481	53	-190	91	6481	53	-190	91	6481	53	-190	91	6481
54	-168	69	6550	54	-168	69	6550	54	-168	69	6550	54	-168	69	6550
55	-147	48	6598	55	-147	48	6598	55	-147	48	6598	55	-147	48	6598
56	-35	35	6633	56	-35	35	6633	56	-35	35	6633	56	-35	35	6633
57	-56	56	6689	57	-56	56	6689	57	-56	56	6689	57	-56	56	6689
58	-54	54	6743	58	-54	54	6743	58	-54	54	6743	58	-54	54	6743
59	-34	34	6777	59	-34	34	6777	59	-34	34	6777	59	-34	34	6777
60	-36	36	6813	60	-36	36	6813	60	-36	36	6813	60	-36	36	6813
61	-60	60	6873	61	-60	60	6873	61	-60	60	6873	61	-60	60	6873
62	-138	39	6912	62	-138	39	6912	62	-138	39	6912	62	-138	39	6912
63	-31	31	6943	63	-31	31	6943	63	-31	31	6943	63	-31	31	6943
64	-181	82	7025	64	-181	82	7025	64	-181	82	7025	64	-181	82	7025
65	-34	34	7059	65	-34	34	7059	65	-34	34	7059	65	-34	34	7059
66	-36	36	7095	66	-36	36	7095	66	-36	36	7095	66	-36	36	7095
67	-42	42	7137	67	-42	42	7137	67	-42	42	7137	67	-42	42	7137
68	-47	47	7184	68	-47	47	7184	68	-47	47	7184	68	-47	47	7184
69	-39	39	7223	69	-39	39	7223	69	-39	39	7223	69	-39	39	7223
70	-180	81	7304	70	-180	81	7304	70	-180	81	7304	70	-180	81	7304
71	-46	46	7350	71	-46	46	7350	71	-46	46	7350	71	-46	46	7350
72	-45	45	7395	72	-45	45	7395	72	-45	45	7395	72	-45	45	7395
73	-306	108	7503	73	-306	108	7503	73	-306	108	7503	73	-306	108	7503
74	-63	63	7566	74	-63	63	7566	74	-63	63	7566	74	-63	63	7566
75	-41	41	7607	75	-41	41	7607	75	-41	41	7607	75	-41	41	7607
76	-47	47	7654	76	-47	47	7654	76	-47	47	7654	76	-47	47	7654
77	-23	23	7677	77	-23	23	7677	77	-23	23	7677	77	-23	23	7677
