Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2536	952	952	0	-2536	952	952	0	-2536	952	952	0	-2536	952	952	0	-2536	952	952	0	-2536	952	952	0	-2536	952	952
1	-71	71	1023	1	-71	71	1023	1	-71	71	1023	1	-71	71	1023	1	-71	71	1023	1	-71	71	1023	1	-71	71	1023
2	-579	282	1305	2	-579	282	1305	2	-579	282	1305	2	-579	282	1305	2	-579	282	1305	2	-579	282	1305	2	-579	282	1305
3	-112	112	1417	3	-112	112	1417	3	-112	112	1417	3	-112	112	1417	3	-112	112	1417	3	-112	112	1417	3	-112	112	1417
4	-129	129	1546	4	-129	129	1546	4	-129	129	1546	4	-129	129	1546	4	-129	129	1546	4	-129	129	1546	4	-129	129	1546
5	-194	194	1740	5	-194	194	1740	5	-194	194	1740	5	-194	194	1740	5	-194	194	1740	5	-194	194	1740	5	-194	194	1740
6	-118	118	1858	6	-118	118	1858	6	-118	118	1858	6	-118	118	1858	6	-118	118	1858	6	-118	118	1858	6	-118	118	1858
7	-139	139	1997	7	-139	139	1997	7	-139	139	1997	7	-139	139	1997	7	-139	139	1997	7	-139	139	1997	7	-139	139	1997
8	-587	290	2287	8	-587	290	2287	8	-587	290	2287	8	-587	290	2287	8	-587	290	2287	8	-587	290	2287	8	-587	290	2287
9	-93	93	2380	9	-93	93	2380	9	-93	93	2380	9	-93	93	2380	9	-93	93	2380	9	-93	93	2380	9	-93	93	2380
10	-73	73	2453	10	-73	73	2453	10	-73	73	2453	10	-73	73	2453	10	-73	73	2453	10	-73	73	2453	10	-73	73	2453
11	-93	93	2546	11	-93	93	2546	11	-93	93	2546	11	-93	93	2546	11	-93	93	2546	11	-93	93	2546	11	-93	93	2546
12	-324	126	2672	12	-324	126	2672	12	-324	126	2672	12	-324	126	2672	12	-324	126	2672	12	-324	126	2672	12	-324	126	2672
13	-448	250	2922	13	-448	250	2922	13	-448	250	2922	13	-448	250	2922	13	-448	250	2922	13	-448	250	2922	13	-448	250	2922
14	-228	129	3051	14	-228	129	3051	14	-228	129	3051	14	-228	129	3051	14	-228	129	3051	14	-228	129	3051	14	-228	129	3051
15	-71	71	3122	15	-71	71	3122	15	-71	71	3122	15	-71	71	3122	15	-71	71	3122	15	-71	71	3122	15	-71	71	3122
16	-77	77	3199	16	-77	77	3199	16	-77	77	3199	16	-77	77	3199	16	-77	77	3199	16	-77	77	3199	16	-77	77	3199
17	-134	134	3333	17	-134	134	3333	17	-134	134	3333	17	-134	134	3333	17	-134	134	3333	17	-134	134	3333	17	-134	134	3333
18	-54	54	3387	18	-54	54	3387	18	-54	54	3387	18	-54	54	3387	18	-54	54	3387	18	-54	54	3387	18	-54	54	3387
