Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2127	741	741	0	-2127	741	741	0	-2127	741	741	0	-2127	741	741	0	-2127	741	741	0	-2127	741	741	0	-2127	741	741	0	-2127	741	741	0	-2127	741	741	0	-2127	741	741
1	-508	310	1051	1	-508	310	1051	1	-508	310	1051	1	-508	310	1051	1	-508	310	1051	1	-508	310	1051	1	-508	310	1051	1	-508	310	1051	1	-508	310	1051	1	-508	310	1051
2	-144	144	1195	2	-144	144	1195	2	-144	144	1195	2	-144	144	1195	2	-144	144	1195	2	-144	144	1195	2	-144	144	1195	2	-144	144	1195	2	-144	144	1195	2	-144	144	1195
3	-498	399	1594	3	-498	399	1594	3	-498	399	1594	3	-498	399	1594	3	-498	399	1594	3	-498	399	1594	3	-498	399	1594	3	-498	399	1594	3	-498	399	1594	3	-498	399	1594
4	-342	243	1837	4	-342	243	1837	4	-342	243	1837	4	-342	243	1837	4	-342	243	1837	4	-342	243	1837	4	-342	243	1837	4	-342	243	1837	4	-342	243	1837	4	-342	243	1837
5	-134	134	1971	5	-134	134	1971	5	-134	134	1971	5	-134	134	1971	5	-134	134	1971	5	-134	134	1971	5	-134	134	1971	5	-134	134	1971	5	-134	134	1971	5	-134	134	1971
6	-115	115	2086	6	-115	115	2086	6	-115	115	2086	6	-115	115	2086	6	-115	115	2086	6	-115	115	2086	6	-115	115	2086	6	-115	115	2086	6	-115	115	2086	6	-115	115	2086
7	-63	63	2149	7	-63	63	2149	7	-63	63	2149	7	-63	63	2149	7	-63	63	2149	7	-63	63	2149	7	-63	63	2149	7	-63	63	2149	7	-63	63	2149	7	-63	63	2149
8	-202	202	2351	8	-202	202	2351	8	-202	202	2351	8	-202	202	2351	8	-202	202	2351	8	-202	202	2351	8	-202	202	2351	8	-202	202	2351	8	-202	202	2351	8	-202	202	2351
9	-94	94	2445	9	-94	94	2445	9	-94	94	2445	9	-94	94	2445	9	-94	94	2445	9	-94	94	2445	9	-94	94	2445	9	-94	94	2445	9	-94	94	2445	9	-94	94	2445
