Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704	0	-2090	704	704
1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039	1	-533	335	1039
2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244	2	-205	205	1244
3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440	3	-196	196	1440
4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601	4	-161	161	1601
5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753	5	-251	152	1753
6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907	6	-253	154	1907
7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080	7	-272	173	2080
8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286	8	-206	206	2286
9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424	9	-336	138	2424
10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502	10	-78	78	2502
11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707	11	-205	205	2707
12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838	12	-131	131	2838
13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932	13	-94	94	2932
14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032	14	-100	100	3032
15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247	15	-413	215	3247
16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373	16	-324	126	3373
17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493	17	-120	120	3493
18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590	18	-97	97	3590
19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651	19	-61	61	3651
20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779	20	-227	128	3779
21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838	21	-59	59	3838
22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880	22	-42	42	3880
