Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631	0	-1918	631	631
1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285	1	-1248	654	1285
2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474	2	-585	189	1474
3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550	3	-175	76	1550
4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753	4	-203	203	1753
5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899	5	-146	146	1899
6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025	6	-126	126	2025
7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099	7	-74	74	2099
8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239	8	-239	140	2239
9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325	9	-185	86	2325
10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391	10	-66	66	2391
11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706	11	-612	315	2706
12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758	12	-52	52	2758
13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961	13	-302	203	2961
14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054	14	-93	93	3054
15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182	15	-128	128	3182
16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310	16	-128	128	3310
17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423	17	-113	113	3423
18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531	18	-207	108	3531
19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715	19	-283	184	3715
20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770	20	-55	55	3770
21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873	21	-202	103	3873
22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079	22	-701	206	4079
23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119	23	-40	40	4119
24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190	24	-71	71	4190
