Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683	0	-2366	683	683
1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997	1	-908	314	997
2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220	2	-223	223	1220
3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437	3	-217	217	1437
4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642	4	-403	205	1642
5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013	5	-965	371	2013
6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172	6	-258	159	2172
7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253	7	-279	81	2253
8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450	8	-296	197	2450
9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553	9	-103	103	2553
10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687	10	-332	134	2687
11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775	11	-88	88	2775
12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827	12	-52	52	2827
13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994	13	-266	167	2994
14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081	14	-87	87	3081
15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206	15	-125	125	3206
16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328	16	-122	122	3328
17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373	17	-45	45	3373
18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484	18	-210	111	3484
19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562	19	-177	78	3562
20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774	20	-410	212	3774
21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893	21	-218	119	3893
