Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424	0	-1711	424	424
1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002	1	-1073	578	1002
2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322	2	-518	320	1322
3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646	3	-621	324	1646
4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717	4	-71	71	1717
5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859	5	-142	142	1859
6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124	6	-364	265	2124
7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212	7	-88	88	2212
8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324	8	-112	112	2324
9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441	9	-216	117	2441
10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740	10	-596	299	2740
11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920	11	-180	180	2920
12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997	12	-77	77	2997
13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104	13	-107	107	3104
14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232	14	-227	128	3232
15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426	15	-293	194	3426
16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484	16	-58	58	3484
17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669	17	-284	185	3669
18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767	18	-98	98	3767
19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852	19	-85	85	3852
20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037	20	-383	185	4037
21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166	21	-129	129	4166
22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237	22	-71	71	4237
23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324	23	-87	87	4324
24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381	24	-57	57	4381
25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445	25	-64	64	4445
26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523	26	-78	78	4523
27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584	27	-160	61	4584
28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697	28	-113	113	4697
29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813	29	-215	116	4813
30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880	30	-166	67	4880
31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022	31	-340	142	5022
32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104	32	-82	82	5104
33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164	33	-60	60	5164
