Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404	0	-1196	404	404
1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915	1	-1204	511	915
2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253	2	-437	338	1253
3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606	3	-452	353	1606
4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885	4	-378	279	1885
5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067	5	-182	182	2067
6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154	6	-87	87	2154
7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258	7	-203	104	2258
8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371	8	-113	113	2371
9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488	9	-117	117	2488
10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613	10	-224	125	2613
11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719	11	-106	106	2719
12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932	12	-411	213	2932
13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039	13	-206	107	3039
14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124	14	-85	85	3124
15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185	15	-61	61	3185
16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302	16	-117	117	3302
