Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971	0	-2654	971	971
1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165	1	-293	194	1165
2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370	2	-304	205	1370
3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622	3	-351	252	1622
4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817	4	-393	195	1817
5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030	5	-411	213	2030
6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244	6	-313	214	2244
7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314	7	-70	70	2314
8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510	8	-295	196	2510
9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673	9	-361	163	2673
10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876	10	-302	203	2876
11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026	11	-249	150	3026
12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083	12	-57	57	3083
13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202	13	-119	119	3202
14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356	14	-253	154	3356
15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490	15	-134	134	3490
16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627	16	-137	137	3627
17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692	17	-65	65	3692
18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763	18	-71	71	3763
19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870	19	-107	107	3870
20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915	20	-45	45	3915
21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088	21	-272	173	4088
22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171	22	-83	83	4171
23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240	23	-69	69	4240
24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347	24	-107	107	4347
25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401	25	-54	54	4401
26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476	26	-75	75	4476
