Episode	Accumulated Reward	Length	Steps
0	-1032	339	339
1	-2065	778	1117
2	-155	155	1272
3	-126	126	1398
4	-323	224	1622
5	-49	49	1671
6	-156	57	1728
7	-134	134	1862
8	-552	255	2117
9	-259	160	2277
10	-361	163	2440
11	-256	157	2597
12	-135	135	2732
13	-166	166	2898
14	-789	294	3192
15	-229	130	3322
16	-272	173	3495
17	-81	81	3576
18	-258	159	3735
19	-146	47	3782
20	-118	118	3900
21	-233	134	4034
22	-33	33	4067
23	-100	100	4167
24	-33	33	4200
25	-95	95	4295
26	-198	99	4394
27	-71	71	4465
28	-81	81	4546
29	-59	59	4605
30	-51	51	4656
31	-151	52	4708
32	-83	83	4791
33	-70	70	4861
34	-136	37	4898
35	-211	112	5010
36	-190	91	5101
37	-39	39	5140
38	-74	74	5214
39	-213	114	5328
40	-40	40	5368
41	-69	69	5437
42	-191	92	5529
43	-65	65	5594
44	-150	51	5645
45	-84	84	5729
46	-41	41	5770
47	-81	81	5851
48	-189	90	5941
49	-191	92	6033
50	-28	28	6061
51	-69	69	6130
52	-47	47	6177
53	-81	81	6258
54	-184	85	6343
55	-43	43	6386
56	-32	32	6418
57	-47	47	6465
58	-153	54	6519
59	-53	53	6572
60	-67	67	6639
61	-181	82	6721
62	-36	36	6757
63	-39	39	6796
64	-65	65	6861
65	-47	47	6908
66	-45	45	6953
67	-27	27	6980
68	-63	63	7043
69	-134	35	7078
70	-31	31	7109
71	-52	52	7161
72	-35	35	7196
73	-65	65	7261
74	-187	88	7349
75	-34	34	7383
76	-59	59	7442
77	-39	39	7481
78	-47	47	7528
79	-25	25	7553
80	-44	44	7597
81	-33	33	7630
82	-49	49	7679
83	-61	61	7740
84	-25	25	7765
85	-41	41	7806
86	-43	43	7849
87	-43	43	7892
88	-162	63	7955
89	-610	214	8169
90	-44	44	8213
91	-27	27	8240
92	-31	31	8271
93	-161	62	8333
94	-36	36	8369
95	-23	23	8392
96	-37	37	8429
97	-33	33	8462
98	-46	46	8508
99	-24	24	8532
100	-86	86	8618
101	-33	33	8651
102	-29	29	8680
103	-27	27	8707
104	-41	41	8748
105	-143	44	8792
106	-32	32	8824
107	-33	33	8857
108	-26	26	8883
109	-35	35	8918
110	-29	29	8947
111	-25	25	8972
112	-38	38	9010
113	-30	30	9040
114	-45	45	9085
115	-35	35	9120
116	-37	37	9157
117	-30	30	9187
118	-23	23	9210
119	-31	31	9241
120	-48	48	9289
121	-30	30	9319
122	-22	22	9341
123	-151	52	9393
124	-29	29	9422
125	-35	35	9457
126	-45	45	9502
127	-25	25	9527
128	-36	36	9563
129	-38	38	9601
130	-31	31	9632
131	-35	35	9667
132	-25	25	9692
133	-33	33	9725
134	-29	29	9754
135	-42	42	9796
136	-29	29	9825
137	-28	28	9853
138	-33	33	9886
139	-46	46	9932
140	-38	38	9970
141	-21	21	9991
142	-27	27	10018
143	-16	16	10034
144	-42	42	10076
145	-25	25	10101
146	-45	45	10146
147	-31	31	10177
148	-28	28	10205
149	-21	21	10226
150	-128	29	10255
151	-21	21	10276
152	-21	21	10297
153	-36	36	10333
154	-22	22	10355
155	-21	21	10376
156	-21	21	10397
157	-133	34	10431
158	-23	23	10454
159	-35	35	10489
160	-22	22	10511
161	-29	29	10540
162	-31	31	10571
163	-21	21	10592
164	-125	26	10618
165	-23	23	10641
166	-143	44	10685
167	-22	22	10707
168	-24	24	10731
169	-20	20	10751
170	-32	32	10783
171	-26	26	10809
172	-177	78	10887
173	-18	18	10905
174	-32	32	10937
175	-24	24	10961
176	-19	19	10980
177	-23	23	11003
178	-29	29	11032
179	-21	21	11053
180	-130	31	11084
181	-22	22	11106
182	-19	19	11125
183	-23	23	11148
184	-40	40	11188
185	-28	28	11216
186	-15	15	11231
187	-22	22	11253
188	-19	19	11272
189	-21	21	11293
190	-21	21	11314
191	-23	23	11337
192	-23	23	11360
193	-21	21	11381
194	-32	32	11413
195	-23	23	11436
196	-24	24	11460
197	-31	31	11491
198	-29	29	11520
199	-35	35	11555
