Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19
1	-17	17	36	1	-17	17	36
2	-19	19	55	2	-19	19	55
3	-38	38	93	3	-38	38	93
4	-21	21	114	4	-21	21	114
5	-18	18	132	5	-18	18	132
6	-20	20	152	6	-20	20	152
7	-21	21	173	7	-21	21	173
8	-21	21	194	8	-21	21	194
9	-20	20	214	9	-20	20	214
10	-21	21	235	10	-21	21	235
11	-31	31	266	11	-31	31	266
12	-19	19	285	12	-19	19	285
13	-15	15	300	13	-15	15	300
14	-15	15	315	14	-15	15	315
15	-22	22	337	15	-22	22	337
16	-19	19	356	16	-19	19	356
17	-21	21	377	17	-21	21	377
18	-17	17	394	18	-17	17	394
19	-23	23	417	19	-23	23	417
20	-17	17	434	20	-17	17	434
21	-20	20	454	21	-20	20	454
22	-20	20	474	22	-20	20	474
23	-19	19	493	23	-19	19	493
24	-22	22	515	24	-22	22	515
25	-27	27	542	25	-27	27	542
26	-33	33	575	26	-33	33	575
27	-19	19	594	27	-19	19	594
28	-19	19	613	28	-19	19	613
29	-19	19	632	29	-19	19	632
30	-268	70	702	30	-268	70	702
31	-37	37	739	31	-37	37	739
32	-18	18	757	32	-18	18	757
33	-21	21	778	33	-21	21	778
34	-24	24	802	34	-24	24	802
35	-30	30	832	35	-30	30	832
36	-26	26	858	36	-26	26	858
37	-23	23	881	37	-23	23	881
38	-27	27	908	38	-27	27	908
39	-23	23	931	39	-23	23	931
40	-19	19	950	40	-19	19	950
41	-15	15	965	41	-15	15	965
42	-19	19	984	42	-19	19	984
43	-18	18	1002	43	-18	18	1002
44	-27	27	1029	44	-27	27	1029
45	-23	23	1052	45	-23	23	1052
46	-21	21	1073	46	-21	21	1073
47	-24	24	1097	47	-24	24	1097
48	-19	19	1116	48	-19	19	1116
49	-25	25	1141	49	-25	25	1141
50	-27	27	1168	50	-27	27	1168
51	-117	18	1186	51	-117	18	1186
52	-19	19	1205	52	-19	19	1205
53	-25	25	1230	53	-25	25	1230
54	-25	25	1255	54	-25	25	1255
55	-18	18	1273	55	-18	18	1273
56	-17	17	1290	56	-17	17	1290
57	-23	23	1313	57	-23	23	1313
58	-19	19	1332	58	-19	19	1332
59	-21	21	1353	59	-21	21	1353
60	-19	19	1372	60	-19	19	1372
61	-29	29	1401	61	-29	29	1401
62	-17	17	1418	62	-17	17	1418
63	-19	19	1437	63	-19	19	1437
64	-21	21	1458	64	-21	21	1458
65	-23	23	1481	65	-23	23	1481
66	-17	17	1498	66	-17	17	1498
67	-15	15	1513	67	-15	15	1513
68	-15	15	1528	68	-15	15	1528
69	-15	15	1543	69	-15	15	1543
70	-19	19	1562	70	-19	19	1562
71	-16	16	1578	71	-16	16	1578
72	-17	17	1595	72	-17	17	1595
73	-19	19	1614	73	-19	19	1614
74	-20	20	1634	74	-20	20	1634
75	-19	19	1653	75	-19	19	1653
76	-15	15	1668	76	-15	15	1668
77	-17	17	1685	77	-17	17	1685
78	-17	17	1702	78	-17	17	1702
79	-17	17	1719	79	-17	17	1719
80	-18	18	1737	80	-18	18	1737
81	-125	26	1763	81	-125	26	1763
82	-25	25	1788	82	-25	25	1788
83	-25	25	1813	83	-25	25	1813
84	-16	16	1829	84	-16	16	1829
85	-17	17	1846	85	-17	17	1846
86	-23	23	1869	86	-23	23	1869
87	-19	19	1888	87	-19	19	1888
88	-17	17	1905	88	-17	17	1905
89	-128	29	1934	89	-128	29	1934
90	-15	15	1949	90	-15	15	1949
91	-19	19	1968	91	-19	19	1968
92	-21	21	1989	92	-21	21	1989
93	-17	17	2006	93	-17	17	2006
94	-25	25	2031	94	-25	25	2031
95	-17	17	2048	95	-17	17	2048
96	-21	21	2069	96	-21	21	2069
97	-17	17	2086	97	-17	17	2086
98	-19	19	2105	98	-19	19	2105
99	-124	25	2130	99	-124	25	2130
100	-21	21	2151	100	-21	21	2151
101	-17	17	2168	101	-17	17	2168
102	-21	21	2189	102	-21	21	2189
103	-17	17	2206	103	-17	17	2206
104	-18	18	2224	104	-18	18	2224
105	-20	20	2244	105	-20	20	2244
106	-15	15	2259	106	-15	15	2259
107	-15	15	2274	107	-15	15	2274
108	-130	31	2305	108	-130	31	2305
109	-21	21	2326	109	-21	21	2326
110	-17	17	2343	110	-17	17	2343
111	-15	15	2358	111	-15	15	2358
112	-25	25	2383	112	-25	25	2383
113	-17	17	2400	113	-17	17	2400
114	-19	19	2419	114	-19	19	2419
115	-20	20	2439	115	-20	20	2439
116	-15	15	2454	116	-15	15	2454
117	-19	19	2473	117	-19	19	2473
118	-17	17	2490	118	-17	17	2490
119	-19	19	2509	119	-19	19	2509
120	-15	15	2524	120	-15	15	2524
121	-23	23	2547	121	-23	23	2547
122	-19	19	2566	122	-19	19	2566
123	-15	15	2581	123	-15	15	2581
124	-19	19	2600	124	-19	19	2600
125	-17	17	2617	125	-17	17	2617
126	-21	21	2638	126	-21	21	2638
127	-17	17	2655	127	-17	17	2655
128	-15	15	2670	128	-15	15	2670
129	-123	24	2694	129	-123	24	2694
130	-19	19	2713	130	-19	19	2713
131	-18	18	2731	131	-18	18	2731
132	-17	17	2748	132	-17	17	2748
133	-15	15	2763	133	-15	15	2763
134	-19	19	2782	134	-19	19	2782
135	-18	18	2800	135	-18	18	2800
136	-18	18	2818	136	-18	18	2818
137	-21	21	2839	137	-21	21	2839
138	-15	15	2854	138	-15	15	2854
139	-16	16	2870	139	-16	16	2870
140	-128	29	2899	140	-128	29	2899
141	-18	18	2917	141	-18	18	2917
142	-28	28	2945	142	-28	28	2945
143	-22	22	2967	143	-22	22	2967
144	-25	25	2992	144	-25	25	2992
145	-26	26	3018	145	-26	26	3018
146	-23	23	3041	146	-23	23	3041
147	-19	19	3060	147	-19	19	3060
148	-19	19	3079	148	-19	19	3079
149	-17	17	3096	149	-17	17	3096
150	-21	21	3117	150	-21	21	3117
151	-19	19	3136	151	-19	19	3136
152	-21	21	3157	152	-21	21	3157
153	-29	29	3186	153	-29	29	3186
154	-24	24	3210	154	-24	24	3210
155	-17	17	3227	155	-17	17	3227
156	-20	20	3247	156	-20	20	3247
157	-21	21	3268	157	-21	21	3268
158	-24	24	3292	158	-24	24	3292
159	-19	19	3311	159	-19	19	3311
160	-23	23	3334	160	-23	23	3334
161	-115	16	3350	161	-115	16	3350
162	-23	23	3373	162	-23	23	3373
163	-25	25	3398	163	-25	25	3398
164	-17	17	3415	164	-17	17	3415
165	-25	25	3440	165	-25	25	3440
166	-22	22	3462	166	-22	22	3462
167	-17	17	3479	167	-17	17	3479
168	-17	17	3496	168	-17	17	3496
169	-15	15	3511	169	-15	15	3511
170	-23	23	3534	170	-23	23	3534
171	-16	16	3550	171	-16	16	3550
172	-20	20	3570	172	-20	20	3570
173	-16	16	3586	173	-16	16	3586
174	-19	19	3605	174	-19	19	3605
175	-15	15	3620	175	-15	15	3620
176	-16	16	3636	176	-16	16	3636
177	-19	19	3655	177	-19	19	3655
178	-17	17	3672	178	-17	17	3672
179	-15	15	3687	179	-15	15	3687
180	-19	19	3706	180	-19	19	3706
181	-25	25	3731	181	-25	25	3731
182	-20	20	3751	182	-20	20	3751
183	-15	15	3766	183	-15	15	3766
184	-18	18	3784	184	-18	18	3784
185	-17	17	3801	185	-17	17	3801
186	-17	17	3818	186	-17	17	3818
187	-19	19	3837	187	-19	19	3837
188	-15	15	3852	188	-15	15	3852
189	-122	23	3875	189	-122	23	3875
190	-19	19	3894	190	-19	19	3894
191	-17	17	3911	191	-17	17	3911
192	-23	23	3934	192	-23	23	3934
193	-19	19	3953	193	-19	19	3953
194	-15	15	3968	194	-15	15	3968
195	-21	21	3989	195	-21	21	3989
196	-21	21	4010	196	-21	21	4010
197	-19	19	4029	197	-19	19	4029
198	-17	17	4046	198	-17	17	4046
199	-17	17	4063	199	-17	17	4063
