Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-20	20	20	0	-20	20	20	0	-20	20	20
1	-19	19	39	1	-19	19	39	1	-19	19	39
2	-21	21	60	2	-21	21	60	2	-21	21	60
3	-17	17	77	3	-17	17	77	3	-17	17	77
4	-19	19	96	4	-19	19	96	4	-19	19	96
5	-19	19	115	5	-19	19	115	5	-19	19	115
6	-27	27	142	6	-27	27	142	6	-27	27	142
7	-21	21	163	7	-21	21	163	7	-21	21	163
8	-19	19	182	8	-19	19	182	8	-19	19	182
9	-21	21	203	9	-21	21	203	9	-21	21	203
10	-20	20	223	10	-20	20	223	10	-20	20	223
11	-20	20	243	11	-20	20	243	11	-20	20	243
12	-21	21	264	12	-21	21	264	12	-21	21	264
13	-24	24	288	13	-24	24	288	13	-24	24	288
14	-17	17	305	14	-17	17	305	14	-17	17	305
15	-19	19	324	15	-19	19	324	15	-19	19	324
16	-16	16	340	16	-16	16	340	16	-16	16	340
17	-21	21	361	17	-21	21	361	17	-21	21	361
18	-19	19	380	18	-19	19	380	18	-19	19	380
19	-17	17	397	19	-17	17	397	19	-17	17	397
20	-22	22	419	20	-22	22	419	20	-22	22	419
21	-15	15	434	21	-15	15	434	21	-15	15	434
22	-17	17	451	22	-17	17	451	22	-17	17	451
23	-15	15	466	23	-15	15	466	23	-15	15	466
24	-17	17	483	24	-17	17	483	24	-17	17	483
25	-15	15	498	25	-15	15	498	25	-15	15	498
26	-126	27	525	26	-126	27	525	26	-126	27	525
27	-17	17	542	27	-17	17	542	27	-17	17	542
28	-15	15	557	28	-15	15	557	28	-15	15	557
29	-19	19	576	29	-19	19	576	29	-19	19	576
30	-18	18	594	30	-18	18	594	30	-18	18	594
31	-19	19	613	31	-19	19	613	31	-19	19	613
32	-19	19	632	32	-19	19	632	32	-19	19	632
33	-23	23	655	33	-23	23	655	33	-23	23	655
34	-23	23	678	34	-23	23	678	34	-23	23	678
35	-128	29	707	35	-128	29	707	35	-128	29	707
36	-19	19	726	36	-19	19	726	36	-19	19	726
37	-22	22	748	37	-22	22	748	37	-22	22	748
38	-18	18	766	38	-18	18	766	38	-18	18	766
39	-17	17	783	39	-17	17	783	39	-17	17	783
40	-23	23	806	40	-23	23	806	40	-23	23	806
41	-123	24	830	41	-123	24	830	41	-123	24	830
42	-17	17	847	42	-17	17	847	42	-17	17	847
43	-15	15	862	43	-15	15	862	43	-15	15	862
44	-15	15	877	44	-15	15	877	44	-15	15	877
45	-15	15	892	45	-15	15	892	45	-15	15	892
46	-17	17	909	46	-17	17	909	46	-17	17	909
47	-15	15	924	47	-15	15	924	47	-15	15	924
48	-121	22	946	48	-121	22	946	48	-121	22	946
49	-15	15	961	49	-15	15	961	49	-15	15	961
50	-17	17	978	50	-17	17	978	50	-17	17	978
51	-17	17	995	51	-17	17	995	51	-17	17	995
52	-19	19	1014	52	-19	19	1014	52	-19	19	1014
53	-17	17	1031	53	-17	17	1031	53	-17	17	1031
54	-18	18	1049	54	-18	18	1049	54	-18	18	1049
55	-18	18	1067	55	-18	18	1067	55	-18	18	1067
56	-17	17	1084	56	-17	17	1084	56	-17	17	1084
57	-15	15	1099	57	-15	15	1099	57	-15	15	1099
58	-15	15	1114	58	-15	15	1114	58	-15	15	1114
59	-21	21	1135	59	-21	21	1135	59	-21	21	1135
60	-15	15	1150	60	-15	15	1150	60	-15	15	1150
61	-15	15	1165	61	-15	15	1165	61	-15	15	1165
62	-15	15	1180	62	-15	15	1180	62	-15	15	1180
63	-20	20	1200	63	-20	20	1200	63	-20	20	1200
64	-15	15	1215	64	-15	15	1215	64	-15	15	1215
65	-15	15	1230	65	-15	15	1230	65	-15	15	1230
66	-21	21	1251	66	-21	21	1251	66	-21	21	1251
67	-15	15	1266	67	-15	15	1266	67	-15	15	1266
68	-18	18	1284	68	-18	18	1284	68	-18	18	1284
69	-17	17	1301	69	-17	17	1301	69	-17	17	1301
70	-17	17	1318	70	-17	17	1318	70	-17	17	1318
71	-15	15	1333	71	-15	15	1333	71	-15	15	1333
72	-15	15	1348	72	-15	15	1348	72	-15	15	1348
73	-15	15	1363	73	-15	15	1363	73	-15	15	1363
74	-15	15	1378	74	-15	15	1378	74	-15	15	1378
75	-129	30	1408	75	-129	30	1408	75	-129	30	1408
76	-17	17	1425	76	-17	17	1425	76	-17	17	1425
77	-21	21	1446	77	-21	21	1446	77	-21	21	1446
78	-19	19	1465	78	-19	19	1465	78	-19	19	1465
79	-120	21	1486	79	-120	21	1486	79	-120	21	1486
80	-17	17	1503	80	-17	17	1503	80	-17	17	1503
81	-17	17	1520	81	-17	17	1520	81	-17	17	1520
82	-16	16	1536	82	-16	16	1536	82	-16	16	1536
83	-17	17	1553	83	-17	17	1553	83	-17	17	1553
84	-20	20	1573	84	-20	20	1573	84	-20	20	1573
85	-20	20	1593	85	-20	20	1593	85	-20	20	1593
86	-17	17	1610	86	-17	17	1610	86	-17	17	1610
87	-21	21	1631	87	-21	21	1631	87	-21	21	1631
88	-17	17	1648	88	-17	17	1648	88	-17	17	1648
89	-17	17	1665	89	-17	17	1665	89	-17	17	1665
90	-15	15	1680	90	-15	15	1680	90	-15	15	1680
91	-15	15	1695	91	-15	15	1695	91	-15	15	1695
92	-15	15	1710	92	-15	15	1710	92	-15	15	1710
93	-21	21	1731	93	-21	21	1731	93	-21	21	1731
94	-17	17	1748	94	-17	17	1748	94	-17	17	1748
95	-23	23	1771	95	-23	23	1771	95	-23	23	1771
96	-17	17	1788	96	-17	17	1788	96	-17	17	1788
97	-15	15	1803	97	-15	15	1803	97	-15	15	1803
98	-15	15	1818	98	-15	15	1818	98	-15	15	1818
99	-15	15	1833	99	-15	15	1833	99	-15	15	1833
100	-17	17	1850	100	-17	17	1850	100	-17	17	1850
101	-15	15	1865	101	-15	15	1865	101	-15	15	1865
102	-15	15	1880	102	-15	15	1880	102	-15	15	1880
103	-16	16	1896	103	-16	16	1896	103	-16	16	1896
104	-15	15	1911	104	-15	15	1911	104	-15	15	1911
105	-18	18	1929	105	-18	18	1929	105	-18	18	1929
106	-19	19	1948	106	-19	19	1948	106	-19	19	1948
107	-15	15	1963	107	-15	15	1963	107	-15	15	1963
108	-17	17	1980	108	-17	17	1980	108	-17	17	1980
109	-15	15	1995	109	-15	15	1995	109	-15	15	1995
110	-20	20	2015	110	-20	20	2015	110	-20	20	2015
111	-20	20	2035	111	-20	20	2035	111	-20	20	2035
112	-17	17	2052	112	-17	17	2052	112	-17	17	2052
113	-15	15	2067	113	-15	15	2067	113	-15	15	2067
114	-17	17	2084	114	-17	17	2084	114	-17	17	2084
115	-21	21	2105	115	-21	21	2105	115	-21	21	2105
116	-15	15	2120	116	-15	15	2120	116	-15	15	2120
117	-15	15	2135	117	-15	15	2135	117	-15	15	2135
118	-15	15	2150	118	-15	15	2150	118	-15	15	2150
119	-15	15	2165	119	-15	15	2165	119	-15	15	2165
120	-17	17	2182	120	-17	17	2182	120	-17	17	2182
121	-15	15	2197	121	-15	15	2197	121	-15	15	2197
122	-15	15	2212	122	-15	15	2212	122	-15	15	2212
123	-17	17	2229	123	-17	17	2229	123	-17	17	2229
124	-15	15	2244	124	-15	15	2244	124	-15	15	2244
125	-15	15	2259	125	-15	15	2259	125	-15	15	2259
126	-17	17	2276	126	-17	17	2276	126	-17	17	2276
127	-15	15	2291	127	-15	15	2291	127	-15	15	2291
128	-17	17	2308	128	-17	17	2308	128	-17	17	2308
129	-15	15	2323	129	-15	15	2323	129	-15	15	2323
130	-17	17	2340	130	-17	17	2340	130	-17	17	2340
131	-15	15	2355	131	-15	15	2355	131	-15	15	2355
132	-15	15	2370	132	-15	15	2370	132	-15	15	2370
133	-15	15	2385	133	-15	15	2385	133	-15	15	2385
134	-15	15	2400	134	-15	15	2400	134	-15	15	2400
135	-120	21	2421	135	-120	21	2421	135	-120	21	2421
136	-17	17	2438	136	-17	17	2438	136	-17	17	2438
137	-15	15	2453	137	-15	15	2453	137	-15	15	2453
138	-15	15	2468	138	-15	15	2468	138	-15	15	2468
139	-15	15	2483	139	-15	15	2483	139	-15	15	2483
140	-17	17	2500	140	-17	17	2500	140	-17	17	2500
141	-15	15	2515	141	-15	15	2515	141	-15	15	2515
142	-17	17	2532	142	-17	17	2532	142	-17	17	2532
143	-15	15	2547	143	-15	15	2547	143	-15	15	2547
144	-18	18	2565	144	-18	18	2565	144	-18	18	2565
145	-23	23	2588	145	-23	23	2588	145	-23	23	2588
146	-17	17	2605	146	-17	17	2605	146	-17	17	2605
147	-117	18	2623	147	-117	18	2623	147	-117	18	2623
148	-19	19	2642	148	-19	19	2642	148	-19	19	2642
149	-15	15	2657	149	-15	15	2657	149	-15	15	2657
150	-15	15	2672	150	-15	15	2672	150	-15	15	2672
151	-15	15	2687	151	-15	15	2687	151	-15	15	2687
152	-26	26	2713	152	-26	26	2713	152	-26	26	2713
153	-16	16	2729	153	-16	16	2729	153	-16	16	2729
154	-15	15	2744	154	-15	15	2744	154	-15	15	2744
155	-17	17	2761	155	-17	17	2761	155	-17	17	2761
156	-17	17	2778	156	-17	17	2778	156	-17	17	2778
157	-17	17	2795	157	-17	17	2795	157	-17	17	2795
158	-15	15	2810	158	-15	15	2810	158	-15	15	2810
159	-15	15	2825	159	-15	15	2825	159	-15	15	2825
160	-17	17	2842	160	-17	17	2842	160	-17	17	2842
161	-22	22	2864	161	-22	22	2864	161	-22	22	2864
162	-17	17	2881	162	-17	17	2881	162	-17	17	2881
163	-15	15	2896	163	-15	15	2896	163	-15	15	2896
164	-23	23	2919	164	-23	23	2919	164	-23	23	2919
165	-21	21	2940	165	-21	21	2940	165	-21	21	2940
166	-15	15	2955	166	-15	15	2955	166	-15	15	2955
167	-15	15	2970	167	-15	15	2970	167	-15	15	2970
168	-15	15	2985	168	-15	15	2985	168	-15	15	2985
169	-19	19	3004	169	-19	19	3004	169	-19	19	3004
