Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19
1	-17	17	36	1	-17	17	36	1	-17	17	36	1	-17	17	36
2	-21	21	57	2	-21	21	57	2	-21	21	57	2	-21	21	57
3	-18	18	75	3	-18	18	75	3	-18	18	75	3	-18	18	75
4	-15	15	90	4	-15	15	90	4	-15	15	90	4	-15	15	90
5	-19	19	109	5	-19	19	109	5	-19	19	109	5	-19	19	109
6	-15	15	124	6	-15	15	124	6	-15	15	124	6	-15	15	124
7	-15	15	139	7	-15	15	139	7	-15	15	139	7	-15	15	139
8	-17	17	156	8	-17	17	156	8	-17	17	156	8	-17	17	156
9	-15	15	171	9	-15	15	171	9	-15	15	171	9	-15	15	171
10	-19	19	190	10	-19	19	190	10	-19	19	190	10	-19	19	190
11	-15	15	205	11	-15	15	205	11	-15	15	205	11	-15	15	205
12	-18	18	223	12	-18	18	223	12	-18	18	223	12	-18	18	223
13	-17	17	240	13	-17	17	240	13	-17	17	240	13	-17	17	240
14	-15	15	255	14	-15	15	255	14	-15	15	255	14	-15	15	255
15	-19	19	274	15	-19	19	274	15	-19	19	274	15	-19	19	274
16	-15	15	289	16	-15	15	289	16	-15	15	289	16	-15	15	289
17	-15	15	304	17	-15	15	304	17	-15	15	304	17	-15	15	304
18	-15	15	319	18	-15	15	319	18	-15	15	319	18	-15	15	319
19	-21	21	340	19	-21	21	340	19	-21	21	340	19	-21	21	340
20	-15	15	355	20	-15	15	355	20	-15	15	355	20	-15	15	355
21	-15	15	370	21	-15	15	370	21	-15	15	370	21	-15	15	370
22	-15	15	385	22	-15	15	385	22	-15	15	385	22	-15	15	385
23	-18	18	403	23	-18	18	403	23	-18	18	403	23	-18	18	403
24	-15	15	418	24	-15	15	418	24	-15	15	418	24	-15	15	418
25	-15	15	433	25	-15	15	433	25	-15	15	433	25	-15	15	433
26	-123	24	457	26	-123	24	457	26	-123	24	457	26	-123	24	457
