Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30
2	-15	15	45	2	-15	15	45	2	-15	15	45	2	-15	15	45	2	-15	15	45
3	-15	15	60	3	-15	15	60	3	-15	15	60	3	-15	15	60	3	-15	15	60
4	-222	24	84	4	-222	24	84	4	-222	24	84	4	-222	24	84	4	-222	24	84
5	-20	20	104	5	-20	20	104	5	-20	20	104	5	-20	20	104	5	-20	20	104
6	-18	18	122	6	-18	18	122	6	-18	18	122	6	-18	18	122	6	-18	18	122
7	-15	15	137	7	-15	15	137	7	-15	15	137	7	-15	15	137	7	-15	15	137
8	-15	15	152	8	-15	15	152	8	-15	15	152	8	-15	15	152	8	-15	15	152
9	-15	15	167	9	-15	15	167	9	-15	15	167	9	-15	15	167	9	-15	15	167
10	-17	17	184	10	-17	17	184	10	-17	17	184	10	-17	17	184	10	-17	17	184
11	-21	21	205	11	-21	21	205	11	-21	21	205	11	-21	21	205	11	-21	21	205
12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222	12	-17	17	222
13	-20	20	242	13	-20	20	242	13	-20	20	242	13	-20	20	242	13	-20	20	242
14	-17	17	259	14	-17	17	259	14	-17	17	259	14	-17	17	259	14	-17	17	259
15	-17	17	276	15	-17	17	276	15	-17	17	276	15	-17	17	276	15	-17	17	276
16	-29	29	305	16	-29	29	305	16	-29	29	305	16	-29	29	305	16	-29	29	305
17	-17	17	322	17	-17	17	322	17	-17	17	322	17	-17	17	322	17	-17	17	322
18	-17	17	339	18	-17	17	339	18	-17	17	339	18	-17	17	339	18	-17	17	339
19	-19	19	358	19	-19	19	358	19	-19	19	358	19	-19	19	358	19	-19	19	358
20	-19	19	377	20	-19	19	377	20	-19	19	377	20	-19	19	377	20	-19	19	377
21	-19	19	396	21	-19	19	396	21	-19	19	396	21	-19	19	396	21	-19	19	396
22	-17	17	413	22	-17	17	413	22	-17	17	413	22	-17	17	413	22	-17	17	413
23	-19	19	432	23	-19	19	432	23	-19	19	432	23	-19	19	432	23	-19	19	432
24	-17	17	449	24	-17	17	449	24	-17	17	449	24	-17	17	449	24	-17	17	449
25	-15	15	464	25	-15	15	464	25	-15	15	464	25	-15	15	464	25	-15	15	464
26	-19	19	483	26	-19	19	483	26	-19	19	483	26	-19	19	483	26	-19	19	483
27	-18	18	501	27	-18	18	501	27	-18	18	501	27	-18	18	501	27	-18	18	501
28	-17	17	518	28	-17	17	518	28	-17	17	518	28	-17	17	518	28	-17	17	518
29	-15	15	533	29	-15	15	533	29	-15	15	533	29	-15	15	533	29	-15	15	533
30	-16	16	549	30	-16	16	549	30	-16	16	549	30	-16	16	549	30	-16	16	549
31	-19	19	568	31	-19	19	568	31	-19	19	568	31	-19	19	568	31	-19	19	568
32	-21	21	589	32	-21	21	589	32	-21	21	589	32	-21	21	589	32	-21	21	589
33	-15	15	604	33	-15	15	604	33	-15	15	604	33	-15	15	604	33	-15	15	604
34	-17	17	621	34	-17	17	621	34	-17	17	621	34	-17	17	621	34	-17	17	621
35	-17	17	638	35	-17	17	638	35	-17	17	638	35	-17	17	638	35	-17	17	638
36	-17	17	655	36	-17	17	655	36	-17	17	655	36	-17	17	655	36	-17	17	655
37	-17	17	672	37	-17	17	672	37	-17	17	672	37	-17	17	672	37	-17	17	672
38	-15	15	687	38	-15	15	687	38	-15	15	687	38	-15	15	687	38	-15	15	687
39	-15	15	702	39	-15	15	702	39	-15	15	702	39	-15	15	702	39	-15	15	702
40	-19	19	721	40	-19	19	721	40	-19	19	721	40	-19	19	721	40	-19	19	721
41	-18	18	739	41	-18	18	739	41	-18	18	739	41	-18	18	739	41	-18	18	739
42	-17	17	756	42	-17	17	756	42	-17	17	756	42	-17	17	756	42	-17	17	756
43	-17	17	773	43	-17	17	773	43	-17	17	773	43	-17	17	773	43	-17	17	773
44	-15	15	788	44	-15	15	788	44	-15	15	788	44	-15	15	788	44	-15	15	788
45	-15	15	803	45	-15	15	803	45	-15	15	803	45	-15	15	803	45	-15	15	803
46	-15	15	818	46	-15	15	818	46	-15	15	818	46	-15	15	818	46	-15	15	818
47	-22	22	840	47	-22	22	840	47	-22	22	840	47	-22	22	840	47	-22	22	840
48	-17	17	857	48	-17	17	857	48	-17	17	857	48	-17	17	857	48	-17	17	857
49	-16	16	873	49	-16	16	873	49	-16	16	873	49	-16	16	873	49	-16	16	873
50	-15	15	888	50	-15	15	888	50	-15	15	888	50	-15	15	888	50	-15	15	888
51	-17	17	905	51	-17	17	905	51	-17	17	905	51	-17	17	905	51	-17	17	905
52	-17	17	922	52	-17	17	922	52	-17	17	922	52	-17	17	922	52	-17	17	922
53	-15	15	937	53	-15	15	937	53	-15	15	937	53	-15	15	937	53	-15	15	937
54	-19	19	956	54	-19	19	956	54	-19	19	956	54	-19	19	956	54	-19	19	956
55	-20	20	976	55	-20	20	976	55	-20	20	976	55	-20	20	976	55	-20	20	976
56	-20	20	996	56	-20	20	996	56	-20	20	996	56	-20	20	996	56	-20	20	996
57	-15	15	1011	57	-15	15	1011	57	-15	15	1011	57	-15	15	1011	57	-15	15	1011
58	-19	19	1030	58	-19	19	1030	58	-19	19	1030	58	-19	19	1030	58	-19	19	1030
59	-15	15	1045	59	-15	15	1045	59	-15	15	1045	59	-15	15	1045	59	-15	15	1045
60	-17	17	1062	60	-17	17	1062	60	-17	17	1062	60	-17	17	1062	60	-17	17	1062
61	-25	25	1087	61	-25	25	1087	61	-25	25	1087	61	-25	25	1087	61	-25	25	1087
62	-19	19	1106	62	-19	19	1106	62	-19	19	1106	62	-19	19	1106	62	-19	19	1106
63	-17	17	1123	63	-17	17	1123	63	-17	17	1123	63	-17	17	1123	63	-17	17	1123
64	-15	15	1138	64	-15	15	1138	64	-15	15	1138	64	-15	15	1138	64	-15	15	1138
65	-15	15	1153	65	-15	15	1153	65	-15	15	1153	65	-15	15	1153	65	-15	15	1153
66	-15	15	1168	66	-15	15	1168	66	-15	15	1168	66	-15	15	1168	66	-15	15	1168
67	-17	17	1185	67	-17	17	1185	67	-17	17	1185	67	-17	17	1185	67	-17	17	1185
