Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-115	16	31	1	-115	16	31	1	-115	16	31	1	-115	16	31	1	-115	16	31	1	-115	16	31
2	-15	15	46	2	-15	15	46	2	-15	15	46	2	-15	15	46	2	-15	15	46	2	-15	15	46
3	-17	17	63	3	-17	17	63	3	-17	17	63	3	-17	17	63	3	-17	17	63	3	-17	17	63
4	-17	17	80	4	-17	17	80	4	-17	17	80	4	-17	17	80	4	-17	17	80	4	-17	17	80
5	-115	16	96	5	-115	16	96	5	-115	16	96	5	-115	16	96	5	-115	16	96	5	-115	16	96
6	-16	16	112	6	-16	16	112	6	-16	16	112	6	-16	16	112	6	-16	16	112	6	-16	16	112
7	-16	16	128	7	-16	16	128	7	-16	16	128	7	-16	16	128	7	-16	16	128	7	-16	16	128
8	-19	19	147	8	-19	19	147	8	-19	19	147	8	-19	19	147	8	-19	19	147	8	-19	19	147
9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162	9	-15	15	162
10	-130	31	193	10	-130	31	193	10	-130	31	193	10	-130	31	193	10	-130	31	193	10	-130	31	193
11	-16	16	209	11	-16	16	209	11	-16	16	209	11	-16	16	209	11	-16	16	209	11	-16	16	209
12	-15	15	224	12	-15	15	224	12	-15	15	224	12	-15	15	224	12	-15	15	224	12	-15	15	224
13	-119	20	244	13	-119	20	244	13	-119	20	244	13	-119	20	244	13	-119	20	244	13	-119	20	244
14	-17	17	261	14	-17	17	261	14	-17	17	261	14	-17	17	261	14	-17	17	261	14	-17	17	261
15	-21	21	282	15	-21	21	282	15	-21	21	282	15	-21	21	282	15	-21	21	282	15	-21	21	282
16	-15	15	297	16	-15	15	297	16	-15	15	297	16	-15	15	297	16	-15	15	297	16	-15	15	297
17	-132	33	330	17	-132	33	330	17	-132	33	330	17	-132	33	330	17	-132	33	330	17	-132	33	330
18	-41	41	371	18	-41	41	371	18	-41	41	371	18	-41	41	371	18	-41	41	371	18	-41	41	371
19	-20	20	391	19	-20	20	391	19	-20	20	391	19	-20	20	391	19	-20	20	391	19	-20	20	391
20	-16	16	407	20	-16	16	407	20	-16	16	407	20	-16	16	407	20	-16	16	407	20	-16	16	407
21	-15	15	422	21	-15	15	422	21	-15	15	422	21	-15	15	422	21	-15	15	422	21	-15	15	422
22	-19	19	441	22	-19	19	441	22	-19	19	441	22	-19	19	441	22	-19	19	441	22	-19	19	441
23	-17	17	458	23	-17	17	458	23	-17	17	458	23	-17	17	458	23	-17	17	458	23	-17	17	458
24	-15	15	473	24	-15	15	473	24	-15	15	473	24	-15	15	473	24	-15	15	473	24	-15	15	473
25	-18	18	491	25	-18	18	491	25	-18	18	491	25	-18	18	491	25	-18	18	491	25	-18	18	491
26	-17	17	508	26	-17	17	508	26	-17	17	508	26	-17	17	508	26	-17	17	508	26	-17	17	508
27	-15	15	523	27	-15	15	523	27	-15	15	523	27	-15	15	523	27	-15	15	523	27	-15	15	523
28	-21	21	544	28	-21	21	544	28	-21	21	544	28	-21	21	544	28	-21	21	544	28	-21	21	544
29	-20	20	564	29	-20	20	564	29	-20	20	564	29	-20	20	564	29	-20	20	564	29	-20	20	564
30	-15	15	579	30	-15	15	579	30	-15	15	579	30	-15	15	579	30	-15	15	579	30	-15	15	579
31	-17	17	596	31	-17	17	596	31	-17	17	596	31	-17	17	596	31	-17	17	596	31	-17	17	596
32	-20	20	616	32	-20	20	616	32	-20	20	616	32	-20	20	616	32	-20	20	616	32	-20	20	616
33	-18	18	634	33	-18	18	634	33	-18	18	634	33	-18	18	634	33	-18	18	634	33	-18	18	634
34	-18	18	652	34	-18	18	652	34	-18	18	652	34	-18	18	652	34	-18	18	652	34	-18	18	652
35	-117	18	670	35	-117	18	670	35	-117	18	670	35	-117	18	670	35	-117	18	670	35	-117	18	670
36	-19	19	689	36	-19	19	689	36	-19	19	689	36	-19	19	689	36	-19	19	689	36	-19	19	689
37	-19	19	708	37	-19	19	708	37	-19	19	708	37	-19	19	708	37	-19	19	708	37	-19	19	708
38	-137	38	746	38	-137	38	746	38	-137	38	746	38	-137	38	746	38	-137	38	746	38	-137	38	746
39	-16	16	762	39	-16	16	762	39	-16	16	762	39	-16	16	762	39	-16	16	762	39	-16	16	762
40	-19	19	781	40	-19	19	781	40	-19	19	781	40	-19	19	781	40	-19	19	781	40	-19	19	781
41	-15	15	796	41	-15	15	796	41	-15	15	796	41	-15	15	796	41	-15	15	796	41	-15	15	796
42	-15	15	811	42	-15	15	811	42	-15	15	811	42	-15	15	811	42	-15	15	811	42	-15	15	811
43	-17	17	828	43	-17	17	828	43	-17	17	828	43	-17	17	828	43	-17	17	828	43	-17	17	828
44	-20	20	848	44	-20	20	848	44	-20	20	848	44	-20	20	848	44	-20	20	848	44	-20	20	848
45	-15	15	863	45	-15	15	863	45	-15	15	863	45	-15	15	863	45	-15	15	863	45	-15	15	863
46	-22	22	885	46	-22	22	885	46	-22	22	885	46	-22	22	885	46	-22	22	885	46	-22	22	885
47	-15	15	900	47	-15	15	900	47	-15	15	900	47	-15	15	900	47	-15	15	900	47	-15	15	900
48	-15	15	915	48	-15	15	915	48	-15	15	915	48	-15	15	915	48	-15	15	915	48	-15	15	915
49	-122	23	938	49	-122	23	938	49	-122	23	938	49	-122	23	938	49	-122	23	938	49	-122	23	938
50	-18	18	956	50	-18	18	956	50	-18	18	956	50	-18	18	956	50	-18	18	956	50	-18	18	956
51	-15	15	971	51	-15	15	971	51	-15	15	971	51	-15	15	971	51	-15	15	971	51	-15	15	971
52	-120	21	992	52	-120	21	992	52	-120	21	992	52	-120	21	992	52	-120	21	992	52	-120	21	992
53	-17	17	1009	53	-17	17	1009	53	-17	17	1009	53	-17	17	1009	53	-17	17	1009	53	-17	17	1009
54	-115	16	1025	54	-115	16	1025	54	-115	16	1025	54	-115	16	1025	54	-115	16	1025	54	-115	16	1025
55	-15	15	1040	55	-15	15	1040	55	-15	15	1040	55	-15	15	1040	55	-15	15	1040	55	-15	15	1040
56	-20	20	1060	56	-20	20	1060	56	-20	20	1060	56	-20	20	1060	56	-20	20	1060	56	-20	20	1060
57	-23	23	1083	57	-23	23	1083	57	-23	23	1083	57	-23	23	1083	57	-23	23	1083	57	-23	23	1083
58	-17	17	1100	58	-17	17	1100	58	-17	17	1100	58	-17	17	1100	58	-17	17	1100	58	-17	17	1100
