Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17
1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36
2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51	2	-15	15	51
3	-17	17	68	3	-17	17	68	3	-17	17	68	3	-17	17	68	3	-17	17	68	3	-17	17	68	3	-17	17	68
4	-17	17	85	4	-17	17	85	4	-17	17	85	4	-17	17	85	4	-17	17	85	4	-17	17	85	4	-17	17	85
5	-15	15	100	5	-15	15	100	5	-15	15	100	5	-15	15	100	5	-15	15	100	5	-15	15	100	5	-15	15	100
6	-18	18	118	6	-18	18	118	6	-18	18	118	6	-18	18	118	6	-18	18	118	6	-18	18	118	6	-18	18	118
7	-15	15	133	7	-15	15	133	7	-15	15	133	7	-15	15	133	7	-15	15	133	7	-15	15	133	7	-15	15	133
8	-19	19	152	8	-19	19	152	8	-19	19	152	8	-19	19	152	8	-19	19	152	8	-19	19	152	8	-19	19	152
9	-17	17	169	9	-17	17	169	9	-17	17	169	9	-17	17	169	9	-17	17	169	9	-17	17	169	9	-17	17	169
10	-23	23	192	10	-23	23	192	10	-23	23	192	10	-23	23	192	10	-23	23	192	10	-23	23	192	10	-23	23	192
11	-17	17	209	11	-17	17	209	11	-17	17	209	11	-17	17	209	11	-17	17	209	11	-17	17	209	11	-17	17	209
12	-17	17	226	12	-17	17	226	12	-17	17	226	12	-17	17	226	12	-17	17	226	12	-17	17	226	12	-17	17	226
