Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-20	20	20	0	-20	20	20	0	-20	20	20	0	-20	20	20	0	-20	20	20	0	-20	20	20	0	-20	20	20	0	-20	20	20
1	-15	15	35	1	-15	15	35	1	-15	15	35	1	-15	15	35	1	-15	15	35	1	-15	15	35	1	-15	15	35	1	-15	15	35
2	-15	15	50	2	-15	15	50	2	-15	15	50	2	-15	15	50	2	-15	15	50	2	-15	15	50	2	-15	15	50	2	-15	15	50
3	-15	15	65	3	-15	15	65	3	-15	15	65	3	-15	15	65	3	-15	15	65	3	-15	15	65	3	-15	15	65	3	-15	15	65
4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84	4	-19	19	84
5	-18	18	102	5	-18	18	102	5	-18	18	102	5	-18	18	102	5	-18	18	102	5	-18	18	102	5	-18	18	102	5	-18	18	102
6	-17	17	119	6	-17	17	119	6	-17	17	119	6	-17	17	119	6	-17	17	119	6	-17	17	119	6	-17	17	119	6	-17	17	119
7	-15	15	134	7	-15	15	134	7	-15	15	134	7	-15	15	134	7	-15	15	134	7	-15	15	134	7	-15	15	134	7	-15	15	134
8	-17	17	151	8	-17	17	151	8	-17	17	151	8	-17	17	151	8	-17	17	151	8	-17	17	151	8	-17	17	151	8	-17	17	151
9	-15	15	166	9	-15	15	166	9	-15	15	166	9	-15	15	166	9	-15	15	166	9	-15	15	166	9	-15	15	166	9	-15	15	166
10	-20	20	186	10	-20	20	186	10	-20	20	186	10	-20	20	186	10	-20	20	186	10	-20	20	186	10	-20	20	186	10	-20	20	186
11	-15	15	201	11	-15	15	201	11	-15	15	201	11	-15	15	201	11	-15	15	201	11	-15	15	201	11	-15	15	201	11	-15	15	201
12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216	12	-15	15	216
13	-17	17	233	13	-17	17	233	13	-17	17	233	13	-17	17	233	13	-17	17	233	13	-17	17	233	13	-17	17	233	13	-17	17	233
14	-17	17	250	14	-17	17	250	14	-17	17	250	14	-17	17	250	14	-17	17	250	14	-17	17	250	14	-17	17	250	14	-17	17	250
15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265
16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280
17	-18	18	298	17	-18	18	298	17	-18	18	298	17	-18	18	298	17	-18	18	298	17	-18	18	298	17	-18	18	298	17	-18	18	298
18	-17	17	315	18	-17	17	315	18	-17	17	315	18	-17	17	315	18	-17	17	315	18	-17	17	315	18	-17	17	315	18	-17	17	315
19	-26	26	341	19	-26	26	341	19	-26	26	341	19	-26	26	341	19	-26	26	341	19	-26	26	341	19	-26	26	341	19	-26	26	341
20	-18	18	359	20	-18	18	359	20	-18	18	359	20	-18	18	359	20	-18	18	359	20	-18	18	359	20	-18	18	359	20	-18	18	359
21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374	21	-15	15	374
22	-19	19	393	22	-19	19	393	22	-19	19	393	22	-19	19	393	22	-19	19	393	22	-19	19	393	22	-19	19	393	22	-19	19	393
23	-16	16	409	23	-16	16	409	23	-16	16	409	23	-16	16	409	23	-16	16	409	23	-16	16	409	23	-16	16	409	23	-16	16	409
24	-15	15	424	24	-15	15	424	24	-15	15	424	24	-15	15	424	24	-15	15	424	24	-15	15	424	24	-15	15	424	24	-15	15	424
25	-115	16	440	25	-115	16	440	25	-115	16	440	25	-115	16	440	25	-115	16	440	25	-115	16	440	25	-115	16	440	25	-115	16	440
26	-18	18	458	26	-18	18	458	26	-18	18	458	26	-18	18	458	26	-18	18	458	26	-18	18	458	26	-18	18	458	26	-18	18	458
27	-15	15	473	27	-15	15	473	27	-15	15	473	27	-15	15	473	27	-15	15	473	27	-15	15	473	27	-15	15	473	27	-15	15	473
28	-17	17	490	28	-17	17	490	28	-17	17	490	28	-17	17	490	28	-17	17	490	28	-17	17	490	28	-17	17	490	28	-17	17	490
29	-16	16	506	29	-16	16	506	29	-16	16	506	29	-16	16	506	29	-16	16	506	29	-16	16	506	29	-16	16	506	29	-16	16	506
30	-19	19	525	30	-19	19	525	30	-19	19	525	30	-19	19	525	30	-19	19	525	30	-19	19	525	30	-19	19	525	30	-19	19	525
31	-15	15	540	31	-15	15	540	31	-15	15	540	31	-15	15	540	31	-15	15	540	31	-15	15	540	31	-15	15	540	31	-15	15	540
32	-16	16	556	32	-16	16	556	32	-16	16	556	32	-16	16	556	32	-16	16	556	32	-16	16	556	32	-16	16	556	32	-16	16	556
33	-21	21	577	33	-21	21	577	33	-21	21	577	33	-21	21	577	33	-21	21	577	33	-21	21	577	33	-21	21	577	33	-21	21	577
34	-15	15	592	34	-15	15	592	34	-15	15	592	34	-15	15	592	34	-15	15	592	34	-15	15	592	34	-15	15	592	34	-15	15	592
35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607	35	-15	15	607
36	-15	15	622	36	-15	15	622	36	-15	15	622	36	-15	15	622	36	-15	15	622	36	-15	15	622	36	-15	15	622	36	-15	15	622
37	-15	15	637	37	-15	15	637	37	-15	15	637	37	-15	15	637	37	-15	15	637	37	-15	15	637	37	-15	15	637	37	-15	15	637
38	-15	15	652	38	-15	15	652	38	-15	15	652	38	-15	15	652	38	-15	15	652	38	-15	15	652	38	-15	15	652	38	-15	15	652
39	-17	17	669	39	-17	17	669	39	-17	17	669	39	-17	17	669	39	-17	17	669	39	-17	17	669	39	-17	17	669	39	-17	17	669
40	-18	18	687	40	-18	18	687	40	-18	18	687	40	-18	18	687	40	-18	18	687	40	-18	18	687	40	-18	18	687	40	-18	18	687
41	-115	16	703	41	-115	16	703	41	-115	16	703	41	-115	16	703	41	-115	16	703	41	-115	16	703	41	-115	16	703	41	-115	16	703
42	-15	15	718	42	-15	15	718	42	-15	15	718	42	-15	15	718	42	-15	15	718	42	-15	15	718	42	-15	15	718	42	-15	15	718
43	-19	19	737	43	-19	19	737	43	-19	19	737	43	-19	19	737	43	-19	19	737	43	-19	19	737	43	-19	19	737	43	-19	19	737
44	-22	22	759	44	-22	22	759	44	-22	22	759	44	-22	22	759	44	-22	22	759	44	-22	22	759	44	-22	22	759	44	-22	22	759
45	-15	15	774	45	-15	15	774	45	-15	15	774	45	-15	15	774	45	-15	15	774	45	-15	15	774	45	-15	15	774	45	-15	15	774
46	-17	17	791	46	-17	17	791	46	-17	17	791	46	-17	17	791	46	-17	17	791	46	-17	17	791	46	-17	17	791	46	-17	17	791
47	-15	15	806	47	-15	15	806	47	-15	15	806	47	-15	15	806	47	-15	15	806	47	-15	15	806	47	-15	15	806	47	-15	15	806
48	-17	17	823	48	-17	17	823	48	-17	17	823	48	-17	17	823	48	-17	17	823	48	-17	17	823	48	-17	17	823	48	-17	17	823
49	-17	17	840	49	-17	17	840	49	-17	17	840	49	-17	17	840	49	-17	17	840	49	-17	17	840	49	-17	17	840	49	-17	17	840
50	-16	16	856	50	-16	16	856	50	-16	16	856	50	-16	16	856	50	-16	16	856	50	-16	16	856	50	-16	16	856	50	-16	16	856
