Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-19	19	34	1	-19	19	34	1	-19	19	34	1	-19	19	34	1	-19	19	34	1	-19	19	34	1	-19	19	34	1	-19	19	34	1	-19	19	34
2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53	2	-19	19	53
3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72
4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89	4	-17	17	89
5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110
6	-15	15	125	6	-15	15	125	6	-15	15	125	6	-15	15	125	6	-15	15	125	6	-15	15	125	6	-15	15	125	6	-15	15	125	6	-15	15	125
7	-21	21	146	7	-21	21	146	7	-21	21	146	7	-21	21	146	7	-21	21	146	7	-21	21	146	7	-21	21	146	7	-21	21	146	7	-21	21	146
8	-17	17	163	8	-17	17	163	8	-17	17	163	8	-17	17	163	8	-17	17	163	8	-17	17	163	8	-17	17	163	8	-17	17	163	8	-17	17	163
9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178	9	-15	15	178
10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195	10	-17	17	195
11	-119	20	215	11	-119	20	215	11	-119	20	215	11	-119	20	215	11	-119	20	215	11	-119	20	215	11	-119	20	215	11	-119	20	215	11	-119	20	215
12	-21	21	236	12	-21	21	236	12	-21	21	236	12	-21	21	236	12	-21	21	236	12	-21	21	236	12	-21	21	236	12	-21	21	236	12	-21	21	236
13	-19	19	255	13	-19	19	255	13	-19	19	255	13	-19	19	255	13	-19	19	255	13	-19	19	255	13	-19	19	255	13	-19	19	255	13	-19	19	255
14	-17	17	272	14	-17	17	272	14	-17	17	272	14	-17	17	272	14	-17	17	272	14	-17	17	272	14	-17	17	272	14	-17	17	272	14	-17	17	272
15	-15	15	287	15	-15	15	287	15	-15	15	287	15	-15	15	287	15	-15	15	287	15	-15	15	287	15	-15	15	287	15	-15	15	287	15	-15	15	287
16	-17	17	304	16	-17	17	304	16	-17	17	304	16	-17	17	304	16	-17	17	304	16	-17	17	304	16	-17	17	304	16	-17	17	304	16	-17	17	304
17	-17	17	321	17	-17	17	321	17	-17	17	321	17	-17	17	321	17	-17	17	321	17	-17	17	321	17	-17	17	321	17	-17	17	321	17	-17	17	321
18	-23	23	344	18	-23	23	344	18	-23	23	344	18	-23	23	344	18	-23	23	344	18	-23	23	344	18	-23	23	344	18	-23	23	344	18	-23	23	344
19	-18	18	362	19	-18	18	362	19	-18	18	362	19	-18	18	362	19	-18	18	362	19	-18	18	362	19	-18	18	362	19	-18	18	362	19	-18	18	362
20	-17	17	379	20	-17	17	379	20	-17	17	379	20	-17	17	379	20	-17	17	379	20	-17	17	379	20	-17	17	379	20	-17	17	379	20	-17	17	379
21	-18	18	397	21	-18	18	397	21	-18	18	397	21	-18	18	397	21	-18	18	397	21	-18	18	397	21	-18	18	397	21	-18	18	397	21	-18	18	397
22	-15	15	412	22	-15	15	412	22	-15	15	412	22	-15	15	412	22	-15	15	412	22	-15	15	412	22	-15	15	412	22	-15	15	412	22	-15	15	412
23	-17	17	429	23	-17	17	429	23	-17	17	429	23	-17	17	429	23	-17	17	429	23	-17	17	429	23	-17	17	429	23	-17	17	429	23	-17	17	429
24	-15	15	444	24	-15	15	444	24	-15	15	444	24	-15	15	444	24	-15	15	444	24	-15	15	444	24	-15	15	444	24	-15	15	444	24	-15	15	444
25	-21	21	465	25	-21	21	465	25	-21	21	465	25	-21	21	465	25	-21	21	465	25	-21	21	465	25	-21	21	465	25	-21	21	465	25	-21	21	465
26	-17	17	482	26	-17	17	482	26	-17	17	482	26	-17	17	482	26	-17	17	482	26	-17	17	482	26	-17	17	482	26	-17	17	482	26	-17	17	482
27	-20	20	502	27	-20	20	502	27	-20	20	502	27	-20	20	502	27	-20	20	502	27	-20	20	502	27	-20	20	502	27	-20	20	502	27	-20	20	502
