Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-16	16	16	0	-16	16	16	0	-16	16	16	0	-16	16	16	0	-16	16	16	0	-16	16	16	0	-16	16	16	0	-16	16	16	0	-16	16	16	0	-16	16	16
1	-15	15	31	1	-15	15	31	1	-15	15	31	1	-15	15	31	1	-15	15	31	1	-15	15	31	1	-15	15	31	1	-15	15	31	1	-15	15	31	1	-15	15	31
2	-17	17	48	2	-17	17	48	2	-17	17	48	2	-17	17	48	2	-17	17	48	2	-17	17	48	2	-17	17	48	2	-17	17	48	2	-17	17	48	2	-17	17	48
3	-15	15	63	3	-15	15	63	3	-15	15	63	3	-15	15	63	3	-15	15	63	3	-15	15	63	3	-15	15	63	3	-15	15	63	3	-15	15	63	3	-15	15	63
4	-19	19	82	4	-19	19	82	4	-19	19	82	4	-19	19	82	4	-19	19	82	4	-19	19	82	4	-19	19	82	4	-19	19	82	4	-19	19	82	4	-19	19	82
5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100	5	-18	18	100
6	-15	15	115	6	-15	15	115	6	-15	15	115	6	-15	15	115	6	-15	15	115	6	-15	15	115	6	-15	15	115	6	-15	15	115	6	-15	15	115	6	-15	15	115
7	-18	18	133	7	-18	18	133	7	-18	18	133	7	-18	18	133	7	-18	18	133	7	-18	18	133	7	-18	18	133	7	-18	18	133	7	-18	18	133	7	-18	18	133
8	-15	15	148	8	-15	15	148	8	-15	15	148	8	-15	15	148	8	-15	15	148	8	-15	15	148	8	-15	15	148	8	-15	15	148	8	-15	15	148	8	-15	15	148
9	-17	17	165	9	-17	17	165	9	-17	17	165	9	-17	17	165	9	-17	17	165	9	-17	17	165	9	-17	17	165	9	-17	17	165	9	-17	17	165	9	-17	17	165
10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180	10	-15	15	180
11	-19	19	199	11	-19	19	199	11	-19	19	199	11	-19	19	199	11	-19	19	199	11	-19	19	199	11	-19	19	199	11	-19	19	199	11	-19	19	199	11	-19	19	199
12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214
13	-21	21	235	13	-21	21	235	13	-21	21	235	13	-21	21	235	13	-21	21	235	13	-21	21	235	13	-21	21	235	13	-21	21	235	13	-21	21	235	13	-21	21	235
14	-15	15	250	14	-15	15	250	14	-15	15	250	14	-15	15	250	14	-15	15	250	14	-15	15	250	14	-15	15	250	14	-15	15	250	14	-15	15	250	14	-15	15	250
15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265	15	-15	15	265
16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280	16	-15	15	280
17	-15	15	295	17	-15	15	295	17	-15	15	295	17	-15	15	295	17	-15	15	295	17	-15	15	295	17	-15	15	295	17	-15	15	295	17	-15	15	295	17	-15	15	295
18	-15	15	310	18	-15	15	310	18	-15	15	310	18	-15	15	310	18	-15	15	310	18	-15	15	310	18	-15	15	310	18	-15	15	310	18	-15	15	310	18	-15	15	310
19	-19	19	329	19	-19	19	329	19	-19	19	329	19	-19	19	329	19	-19	19	329	19	-19	19	329	19	-19	19	329	19	-19	19	329	19	-19	19	329	19	-19	19	329
20	-18	18	347	20	-18	18	347	20	-18	18	347	20	-18	18	347	20	-18	18	347	20	-18	18	347	20	-18	18	347	20	-18	18	347	20	-18	18	347	20	-18	18	347
21	-20	20	367	21	-20	20	367	21	-20	20	367	21	-20	20	367	21	-20	20	367	21	-20	20	367	21	-20	20	367	21	-20	20	367	21	-20	20	367	21	-20	20	367
22	-15	15	382	22	-15	15	382	22	-15	15	382	22	-15	15	382	22	-15	15	382	22	-15	15	382	22	-15	15	382	22	-15	15	382	22	-15	15	382	22	-15	15	382
23	-18	18	400	23	-18	18	400	23	-18	18	400	23	-18	18	400	23	-18	18	400	23	-18	18	400	23	-18	18	400	23	-18	18	400	23	-18	18	400	23	-18	18	400
